MonthYear,Actor1CountryCode,Events
201707   ,LVA              ,4217
201608   ,MYS              ,22690
201608   ,TCD              ,3944
201508   ,NLD              ,20240
201508   ,LVA              ,4341
201612   ,MOZ              ,2323
201704   ,KAZ              ,7538
201704   ,CHN              ,159039
201703   ,USA              ,1258683
201703   ,AFG              ,35619
201703   ,GMB              ,3631
201604   ,BLR              ,14417
201703   ,IRN              ,59974
201704   ,SMR              ,86
201703   ,HRV              ,8758
201703   ,LVA              ,5315
201703   ,ESP              ,59324
201702   ,KHM              ,6518
201702   ,PAN              ,6054
201603   ,MMR              ,9612
201603   ,GIN              ,2975
201603   ,SWZ              ,567
201603   ,NIC              ,3231
201705   ,KEN              ,15775
201706   ,SAS              ,1102
201606   ,ITA              ,69058
201706   ,KIR              ,231
201606   ,BRA              ,33519
201606   ,KHM              ,7576
201705   ,AUT              ,12534
201610   ,DMA              ,733
201609   ,PSE              ,39951
201510   ,MEX              ,48439
201609   ,CZE              ,11280
201509   ,MOZ              ,3566
201509   ,BHS              ,3395
201709   ,UKR              ,68143
201512   ,CHN              ,117126
201512   ,ALB              ,5534
201709   ,LBR              ,3309
201805   ,KOR              ,55490
201805   ,AUS              ,82490
201805   ,TWN              ,9410
201805   ,IRL              ,32793
201805   ,ARM              ,18728
201804   ,UZB              ,3404
201804   ,TZA              ,4605
201711   ,CHE              ,24351
201711   ,COG              ,1861
201711   ,GMB              ,2285
201710   ,PHL              ,40927
201711   ,SAF              ,1387
201710   ,OMN              ,6978
201805   ,SCN              ,23
201801   ,BMU              ,1817
201801   ,CPV              ,241
201801   ,GTM              ,3496
201803   ,SYR              ,79640
201803   ,MEX              ,52294
201803   ,LCA              ,653
201803   ,GNB              ,317
201803   ,STP              ,218
201802   ,GUY              ,2514
201802   ,WST              ,5876
201710   ,BGR              ,13891
201504   ,USA              ,1008676
201506   ,EUR              ,90380
201605   ,MCO              ,5398
201602   ,CYM              ,705
201605   ,MUS              ,5641
201502   ,KWT              ,3866
201503   ,PRY              ,2303
201507   ,URY              ,3773
201503   ,KNA              ,522
201504   ,PRK              ,9819
201508   ,GTM              ,5993
201507   ,GAB              ,1004
201504   ,SGP              ,9818
201507   ,GEO              ,123
201504   ,VCT              ,677
201501   ,RUS              ,1678
201508   ,KIR              ,281
201503   ,EAF              ,112
201804   ,VAT              ,5256
201503   ,SCN              ,22
201506   ,LAM              ,61
201503   ,SHN              ,65
201602   ,SAM              ,8
201509   ,ROM              ,46
201606   ,BFA              ,2646
201806   ,DOM              ,2468
201806   ,AIA              ,131
201807   ,HKG              ,167
201807   ,FJI              ,3301
201807   ,SLE              ,1462
201807   ,TMP              ,446
202006   ,USA              ,139917
202006   ,HUN              ,823
201906   ,PRK              ,23658
201808   ,BWA              ,2041
201808   ,AFR              ,45938
201808   ,LVA              ,3770
201907   ,BRB              ,2201
201907   ,ISL              ,1511
201907   ,ETH              ,6776
201907   ,MEA              ,486
201906   ,MYS              ,14383
201812   ,USA              ,839228
201812   ,GRC              ,22308
201812   ,NPL              ,6052
201811   ,JPN              ,47691
201811   ,SAU              ,78160
201811   ,IND              ,56250
201810   ,CYP              ,5409
201906   ,MMR              ,4502
201811   ,WAF              ,596
201906   ,KGZ              ,6630
201901   ,IND              ,56566
201901   ,JPN              ,44033
201901   ,MYS              ,15206
201901   ,ARE              ,13911
201901   ,TJK              ,1312
201901   ,TGO              ,705
201902   ,AFG              ,34186
201911   ,MNG              ,1269
201911   ,LAO              ,1370
201911   ,MRT              ,757
201911   ,SWZ              ,258
201910   ,UGA              ,6060
201910   ,ZMB              ,2421
201912   ,UGA              ,5300
201912   ,BEN              ,1093
201912   ,KHM              ,3299
201909   ,AUS              ,56068
201909   ,BTN              ,960
201909   ,BDI              ,1226
201908   ,TWN              ,7413
201908   ,BDI              ,1110
201908   ,MAC              ,320
202002   ,MEX              ,34234
202002   ,CHL              ,6242
202002   ,CMR              ,2590
201910   ,GRC              ,25513
202001   ,CZE              ,5384
202001   ,MAR              ,5737
202001   ,PLW              ,322
202001   ,LAM              ,55
202003   ,AUS              ,62285
202004   ,NMR              ,2616
202003   ,BOL              ,3803
202003   ,BTN              ,1205
201904   ,MLT              ,3763
201904   ,MHL              ,248
201904   ,CRI              ,1410
202005   ,GHA              ,7500
202005   ,BWA              ,1322
201905   ,PAK              ,46213
201611   ,CZE              ,11100
201611   ,ZWE              ,10801
201611   ,EST              ,6036
201610   ,BRN              ,3866
201610   ,BEN              ,1885
201511   ,PRK              ,8808
201612   ,PER              ,12696
201610   ,HKG              ,555
201706   ,JOR              ,17679
201707   ,ARE              ,16610
201707   ,AFG              ,32014
201708   ,TZA              ,5240
201708   ,ZWE              ,12737
201708   ,IRN              ,60878
201706   ,PHL              ,45839
201708   ,GMB              ,2216
201608   ,AUT              ,13120
201608   ,SDN              ,14025
201608   ,PSE              ,34244
201608   ,ALB              ,9990
201608   ,SRB              ,10588
201608   ,BWA              ,2441
201508   ,LKA              ,14735
201508   ,TZA              ,4263
201704   ,OMN              ,6045
201704   ,BOL              ,9127
201704   ,ZAF              ,15856
201704   ,WST              ,9526
201604   ,COL              ,20304
201703   ,ARE              ,17350
201703   ,ARG              ,21779
201703   ,BOL              ,11386
201703   ,BHR              ,8179
201602   ,LBN              ,27264
201702   ,SWZ              ,530
201702   ,RWA              ,4248
201701   ,BRN              ,2570
201602   ,IRN              ,87187
201701   ,AND              ,329
201701   ,ZAF              ,15184
201612   ,GMB              ,8890
201703   ,ASA              ,510
201603   ,JAM              ,5522
201701   ,SLV              ,2840
201701   ,SAM              ,33
201606   ,BGD              ,24131
201706   ,AIA              ,142
201606   ,OMN              ,5211
201610   ,VCT              ,1011
201510   ,NGA              ,56333
201510   ,CHL              ,14148
201510   ,MKD              ,4107
201509   ,MLT              ,3271
201609   ,SHN              ,51
201709   ,HUN              ,14297
201612   ,BFA              ,3157
201612   ,SHN              ,46
201512   ,AUT              ,14133
201709   ,ALB              ,10174
201805   ,USA              ,1129907
201805   ,SGP              ,20763
201805   ,NER              ,2718
201805   ,ETH              ,8764
201805   ,LSO              ,1359
201805   ,LUX              ,2888
201711   ,AFG              ,26589
201711   ,ALB              ,12157
201711   ,CUB              ,12705
201710   ,LBN              ,16661
201801   ,JOR              ,24049
201801   ,TWN              ,6089
201801   ,ZMB              ,4196
201712   ,NGA              ,52312
201804   ,SWE              ,18790
201712   ,MDV              ,14268
201712   ,LAM              ,39
201712   ,KIR              ,282
201802   ,ARG              ,16575
201803   ,SUR              ,334
201802   ,WLF              ,13
201710   ,FIN              ,11164
201710   ,BLR              ,11329
201710   ,GEO              ,107
201601   ,EST              ,3585
201601   ,CAF              ,1515
201601   ,TCD              ,2545
