MonthYear,Actor1CountryCode,EventsMentions25up
202004   ,UKR              ,160
202004   ,HRV              ,7
202004   ,BFA              ,2
201904   ,AUS              ,225
202003   ,CUB              ,70
201708   ,USA              ,6075
201708   ,ECU              ,62
201607   ,PHL              ,289
201704   ,COL              ,416
201704   ,TZA              ,26
202003   ,AUT              ,36
202003   ,FIN              ,37
201703   ,SOM              ,128
201603   ,CAN              ,517
201708   ,TWN              ,24
201708   ,CMR              ,19
201708   ,UZB              ,5
201611   ,TCD              ,15
201612   ,CHE              ,217
201704   ,UGA              ,27
201705   ,                 ,48159
201706   ,BHR              ,166
201706   ,LBN              ,130
201706   ,SDN              ,176
201905   ,SSD              ,4
201610   ,URY              ,119
201610   ,LAM              ,2
201702   ,HND              ,72
201702   ,ZWE              ,33
201702   ,IRN              ,463
201608   ,EUR              ,653
201608   ,BLR              ,74
201609   ,SSD              ,90
201609   ,MDV              ,176
201609   ,MWI              ,8
201609   ,BRB              ,12
202005   ,NER              ,2
201607   ,POL              ,434
201511   ,NLD              ,143
201705   ,CUB              ,78
201705   ,BEL              ,377
201509   ,MUS              ,3
201702   ,PLW              ,1
201612   ,LSO              ,1
201705   ,CAF              ,51
201711   ,SOM              ,54
201606   ,FRA              ,715
201709   ,SYR              ,485
201803   ,AUS              ,388
201803   ,CHL              ,82
201803   ,MAR              ,51
201803   ,TGO              ,46
201604   ,BRA              ,292
201504   ,CHE              ,100
201511   ,CHL              ,68
201504   ,NLD              ,112
201605   ,WSM              ,2
201507   ,BGR              ,81
201510   ,MEX              ,167
201605   ,NIC              ,32
201512   ,UGA              ,44
201710   ,NRU              ,1
201807   ,KOR              ,145
201806   ,COD              ,10
201802   ,MKD              ,360
201602   ,URY              ,40
201507   ,NZL              ,91
201803   ,BRB              ,3
201710   ,TWN              ,24
201804   ,PRK              ,216
201903   ,MLI              ,32
201812   ,MEX              ,221
201901   ,                 ,21457
201901   ,BEL              ,112
201901   ,GRD              ,9
201901   ,MMR              ,29
201901   ,VNM              ,16
202006   ,BRA              ,21
201512   ,VNM              ,20
201503   ,BEL              ,150
201504   ,PHL              ,93
201504   ,ARE              ,44
201802   ,BTN              ,1
201509   ,VNM              ,25
201512   ,ARE              ,78
201801   ,MDV              ,189
201601   ,BHR              ,70
202002   ,MEX              ,139
202002   ,AFG              ,127
202001   ,FRA              ,312
202001   ,ITA              ,134
202002   ,OMN              ,8
202001   ,SYR              ,139
201712   ,AZE              ,103
201906   ,PRK              ,123
201906   ,TCD              ,4
201507   ,CHL              ,43
201507   ,MAR              ,41
201505   ,SLV              ,24
201908   ,WST              ,9
201908   ,MAR              ,11
201908   ,TWN              ,27
201502   ,EST              ,12
201508   ,TCD              ,25
201506   ,KGZ              ,28
201808   ,ARG              ,83
201808   ,PER              ,60
201902   ,SOM              ,19
201504   ,TKM              ,8
201802   ,MNG              ,6
201911   ,BHR              ,6
201911   ,PRY              ,8
201607   ,BDI              ,25
201911   ,BRN              ,14
201905   ,ALB              ,60
201905   ,KGZ              ,11
201503   ,PGS              ,7
201508   ,SAF              ,1
201606   ,PAN              ,103
201606   ,HND              ,60
201507   ,STP              ,2
201912   ,IRL              ,139
201912   ,ARE              ,18
202006   ,KNA              ,1
201808   ,ZMB              ,8
201506   ,ZWE              ,16
201607   ,BFA              ,9
201503   ,SAS              ,10
201805   ,GUY              ,17
202001   ,NPL              ,40
202001   ,AZE              ,16
201508   ,TTO              ,3
201601   ,TTO              ,2
201907   ,DZA              ,23
201907   ,MOZ              ,4
201501   ,CHE              ,3
201510   ,TWN              ,17
201709   ,BEN              ,4
201912   ,ZWE              ,11
201812   ,NPL              ,13
201910   ,BDI              ,2
201603   ,PGS              ,3
201812   ,DJI              ,4
201801   ,SWZ              ,3
201601   ,ZMB              ,7
201505   ,GMB              ,4
201812   ,GUY              ,5
201506   ,SEN              ,2
