MonthYear,Actor1CountryCode,EventsMentions15up
202004   ,NLD              ,264
202004   ,PAN              ,48
202004   ,MOZ              ,19
201707   ,VEN              ,2391
201707   ,BOL              ,518
201707   ,CYP              ,331
201607   ,TUR              ,7882
201707   ,KNA              ,22
201607   ,ITA              ,1990
202005   ,PAN              ,43
201704   ,ISL              ,57
201704   ,GUY              ,74
201703   ,BEL              ,1120
201604   ,CIV              ,68
201604   ,RUS              ,4000
201604   ,BGR              ,865
202003   ,EST              ,51
202003   ,MKD              ,95
202003   ,NOR              ,194
201708   ,NER              ,40
201706   ,RUS              ,5170
201606   ,COG              ,83
201702   ,GAB              ,24
201511   ,LKA              ,207
201703   ,GMB              ,60
201703   ,TJK              ,63
201703   ,MEA              ,99
201603   ,ZWE              ,112
201610   ,HTI              ,578
201510   ,PHL              ,501
201608   ,ZAF              ,224
201608   ,DZA              ,311
201608   ,CAF              ,79
201608   ,HND              ,261
201608   ,NRU              ,33
201606   ,IRL              ,575
201708   ,MHL              ,9
201603   ,IRQ              ,1251
201609   ,IRN              ,1880
201609   ,JAM              ,180
201609   ,TZA              ,157
201609   ,PRK              ,730
201609   ,PLW              ,12
201601   ,KOR              ,963
201601   ,BGD              ,238
201707   ,TMP              ,14
201707   ,MHL              ,10
201612   ,ZAF              ,126
201612   ,VAT              ,331
201512   ,AUS              ,2877
201705   ,TZA              ,141
201705   ,UKR              ,2748
201509   ,EGY              ,2111
201511   ,EST              ,141
201511   ,SEA              ,316
201510   ,IDN              ,788
201601   ,SRB              ,210
201512   ,PER              ,294
201708   ,TMP              ,3
201603   ,MYS              ,592
201605   ,LKA              ,202
201602   ,PHL              ,508
201711   ,BLR              ,413
201711   ,GBR              ,4020
201709   ,JOR              ,491
201709   ,NGA              ,479
201805   ,GBR              ,3755
201805   ,PRT              ,410
201805   ,SVK              ,124
201709   ,VCT              ,17
201709   ,PLW              ,9
202006   ,ARM              ,26
201710   ,YEM              ,1150
201710   ,SAS              ,50
201710   ,BDI              ,57
201507   ,USA              ,26700
201502   ,BRA              ,239
201505   ,CHN              ,2638
201504   ,ECU              ,108
201507   ,DEU              ,2654
201508   ,GTM              ,175
201503   ,JOR              ,470
201604   ,ZAF              ,244
201603   ,CYP              ,483
201502   ,COL              ,242
201505   ,BOL              ,245
201504   ,JAM              ,207
201605   ,MKD              ,690
201508   ,POL              ,712
201510   ,MDA              ,185
201801   ,EGY              ,2116
201801   ,MLT              ,63
201801   ,PAN              ,164
201801   ,VNM              ,245
201711   ,WSM              ,19
201807   ,QAT              ,233
201807   ,JOR              ,550
201807   ,IRQ              ,631
201807   ,COD              ,61
201802   ,ISL              ,81
201802   ,STP              ,8
201501   ,EUR              ,80
201602   ,BFA              ,71
201503   ,ERI              ,23
201604   ,GUY              ,36
201503   ,LAO              ,13
201505   ,ZMB              ,33
201508   ,KHM              ,98
201508   ,SVK              ,118
201603   ,LBR              ,49
201508   ,SOM              ,172
201506   ,OMN              ,141
201502   ,NIC              ,15
201908   ,KWT              ,72
201908   ,TGO              ,20
201908   ,TZA              ,68
201906   ,BRN              ,14
201906   ,COG              ,60
201803   ,BEL              ,974
201906   ,BMU              ,18
201806   ,SAU              ,968
201804   ,MEX              ,1723
201804   ,CUB              ,512
201804   ,JAM              ,93
201602   ,RWA              ,77
201601   ,PNG              ,49
202001   ,MDA              ,94
202001   ,BEN              ,15
201912   ,GBR              ,3044
201804   ,MDG              ,48
201810   ,GBR              ,4195
201810   ,BTN              ,30
201810   ,GIN              ,43
201504   ,NAM              ,67
201712   ,CHE              ,646
201902   ,CAN              ,1572
201903   ,BRN              ,28
201809   ,TUR              ,2021
201806   ,AUS              ,1675
201806   ,GUY              ,64
