Year,EventBaseCode,Count
2015,140          ,49694
2018,094          ,3553
2019,142          ,16208
2020,125          ,50067
2017,120          ,2250171
2017,116          ,1997
2015,021          ,140157
2015,052          ,90134
2018,163          ,198295
2018,151          ,12035
2020,090          ,513707
2020,193          ,260120
2019,057          ,1161966
2019,050          ,895526
2019,163          ,167002
2017,012          ,1680735
2017,080          ,1203725
2017,105          ,49703
2016,035          ,261154
2016,104          ,76135
2016,082          ,20621
2015,195          ,253681
2018,030          ,1648414
2018,172          ,927685
2018,081          ,222319
2019,106          ,4301
2020,172          ,394563
2020,011          ,45495
2019,122          ,24308
2017,110          ,1753025
2017,018          ,180616
2016,193          ,1699071
2017,063          ,29408
2016,182          ,593102
2015,193          ,1305074
2015,124          ,87500
2015,104          ,57854
2020,042          ,1920496
2020,170          ,9186
2020,056          ,8932
2020,202          ,2989
2017,190          ,4261588
2017,022          ,147155
2016,014          ,885780
2016,171          ,316987
2015,144          ,15109
2015,154          ,143928
2018,170          ,44661
2018,139          ,33935
2018,116          ,1903
2019,145          ,66422
2016,081          ,250172
2016,166          ,25265
2015,191          ,60316
2015,143          ,52096
2018,026          ,395355
2018,166          ,21697
2020,031          ,89375
2017,031          ,450814
2016,071          ,1601742
2016,175          ,80699
2016,062          ,203139
2016,022          ,160280
2015,055          ,94026
2018,014          ,709047
2018,171          ,244144
2018,203          ,21969
2019,036          ,3515457
2020,102          ,528
2019,055          ,92048
2015,084          ,1307017
2019,038          ,9323
2015,132          ,650
2019,150          ,89113
2017,071          ,1502950
2016,070          ,1264149
2015,183          ,89377
2015,138          ,329284
2018,182          ,473325
2018,044          ,106346
2018,054          ,84626
2018,028          ,22527
2019,074          ,14772
2020,087          ,122494
2019,043          ,5708916
2019,084          ,1297576
2019,024          ,52127
2017,129          ,120102
2017,191          ,76907
2017,107          ,2415
2016,072          ,336684
2016,128          ,188823
2015,101          ,76548
2016,184          ,1544
2015,025          ,141856
2015,053          ,26112
2018,073          ,391436
2018,050          ,1064514
2015,092          ,3986
2019,063          ,24526
2020,186          ,36644
2019,141          ,685629
2019,073          ,342508
2019,052          ,87510
2017,051          ,6052749
2017,061          ,587960
2016,120          ,2449376
2016,162          ,44185
2016,123          ,12982
2015,171          ,238599
2015,134          ,10184
2018,113          ,30717
2018,106          ,4910
2018,185          ,13099
2019,126          ,148
2019,072          ,203479
2019,086          ,23501
2017,075          ,96014
2017,032          ,88198
2017,123          ,13121
2016,036          ,4942492
2016,034          ,9114
2015,045          ,131608
2015,054          ,57075
2015,081          ,202904
2018,084          ,1443204
2019,028          ,19750
2017,084          ,1584888
2017,154          ,160638
2016,100          ,1212072
2017,113          ,39436
2016,192          ,548634
2016,033          ,397036
2016,046          ,3750198
2016,053          ,35156
2016,139          ,35743
2015,087          ,374847
2018,164          ,114999
2018,019          ,13716
2018,153          ,28134
2018,107          ,1453
2016,X            ,1
2019,111          ,1530262
2019,174          ,138459
2019,104          ,59615
2019,127          ,36724
2017,162          ,40208
2015,011          ,163697
2015,142          ,26051
2018,080          ,1076267
2018,132          ,593
2019,081          ,192480
2019,027          ,36848
2016,057          ,1618814
2016,154          ,168286
2015,083          ,291039
2018,070          ,1000240
2019,090          ,1787006
2017,193          ,1378161
2017,127          ,46350
2017,094          ,3910
2017,134          ,13998
2016,124          ,117370
2017,184          ,959
2015,180          ,585565
2015,181          ,177836
2015,062          ,167986
2018,060          ,1186620
2018,130          ,1000047
2018,011          ,189326
2018,136          ,841
2017,165          ,35
2019,034          ,7007
2019,116          ,1674
2020,022          ,35888
2020,151          ,3007
2020,063          ,5880
2017,070          ,1141433
2017,090          ,2269610
2015,060          ,1152080
2015,032          ,76833
2015,161          ,103856
2018,086          ,27116
2019,144          ,14928
2019,---          ,14
2020,010          ,1938859
2020,060          ,344968
2020,037          ,12295
2019,032          ,67833
2017,161          ,190037
2016,045          ,166393
2015,043          ,6188330
2016,165          ,30
2018,045          ,136890
2018,043          ,6470187
2018,122          ,26578
2020,035          ,66195
2020,070          ,327271
2020,044          ,27841
2020,052          ,22739
2017,036          ,4613236
2017,115          ,76642
2016,063          ,32498
2016,122          ,32881
2016,202          ,31097
2016,152          ,33927
2018,036          ,4218174
2018,133          ,23720
2019,153          ,25151
2020,027          ,9261
2020,085          ,7636
2017,166          ,26286
2016,195          ,276044
2015,012          ,1417316
2016,137          ,1976
2015,170          ,41016
2018,138          ,332755
2018,127          ,38488
2015,027          ,42465
2019,136          ,808
2020,021          ,40604
2019,120          ,1757052
2016,010          ,8696590
2016,174          ,192492
2016,115          ,85035
2016,140          ,72480
2016,134          ,13760
2017,132          ,1078
2018,025          ,166742
2015,136          ,620
2015,---          ,7
2019,182          ,404792
2019,051          ,4698905
2019,022          ,114298
2019,041          ,216271
2020,121          ,833
2019,018          ,134050
2016,160          ,534022
2018,112          ,2153190
2018,180          ,694648
2018,191          ,63250
2019,196          ,7660
2019,085          ,29322
2016,016          ,303020
2017,144          ,17756
2016,164          ,126461
2016,180          ,868030
2016,170          ,51054
2016,075          ,124277
2015,051          ,4897631
2016,201          ,1400
2015,041          ,290492
2018,186          ,152981
2020,135          ,1
2020,051          ,1342368
2020,086          ,6610
2019,100          ,892982
2020,107          ,239
2020,103          ,802
2019,083          ,314776
2017,173          ,3094566
2017,015          ,401523
2017,021          ,194862
2017,037          ,60067
2017,175          ,71202
2017,151          ,22363
2016,150          ,143380
2016,039          ,14016
2015,182          ,428452
2015,035          ,185171
2015,127          ,35567
2019,053          ,27339
2015,082          ,12754
2018,022          ,126472
2018,193          ,1270924
2018,192          ,389476
2018,101          ,100129
2019,019          ,12307
2020,104          ,13663
2020,091          ,5433
2020,163          ,30825
2020,034          ,1336
2020,203          ,2982
2017,182          ,511917
2016,052          ,118485
2016,138          ,452065
2020,160          ,226243
2020,128          ,44871
2019,082          ,16092
2017,082          ,17653
2016,106          ,5817
2015,037          ,66541
2018,042          ,7060013
2018,012          ,1481277
2018,154          ,134722
2020,192          ,97955
2020,055          ,23475
2019,015          ,335948
2019,195          ,113482
2019,194          ,107773
2019,026          ,328653
2017,028          ,24434
2017,027          ,52153
2016,131          ,63395
2016,011          ,201206
2016,107          ,2185
2015,039          ,10284
2018,083          ,340403
2015,116          ,1571
2015,196          ,7390
2018,165          ,42
2020,139          ,8183
2020,039          ,2422
2019,080          ,927153
2017,035          ,228353
2017,112          ,2296337
2016,181          ,237978
2016,031          ,484078
2017,126          ,145
2016,153          ,36576
2015,015          ,349304
2015,016          ,227829
2015,038          ,11930
2020,190          ,869401
2020,141          ,177782
2020,041          ,88051
2020,074          ,4126
2019,070          ,865628
2019,131          ,49681
2019,170          ,40166
2017,074          ,20642
2016,025          ,182670
2015,112          ,1791739
2015,174          ,131021
2018,032          ,79719
2018,173          ,2878182
2018,100          ,1005719
2018,161          ,152922
2018,037          ,60946
2015,106          ,4872
2019,175          ,71087
2017,073          ,440258
2017,194          ,207174
2016,151          ,20978
2015,020          ,5285969
2018,041          ,255110
2018,034          ,7865
2018,103          ,3908
2015,184          ,618
2020,064          ,8668
2020,150          ,19900
2019,128          ,153488
2019,124          ,107212
2019,130          ,864655
2019,160          ,405162
2019,191          ,55768
2016,084          ,1776941
2016,163          ,165878
2018,016          ,279796
2015,165          ,136
2020,043          ,1762899
2017,016          ,295282
2015,121          ,4041
2015,131          ,45644
2018,015          ,377538
2018,140          ,61189
2020,046          ,769000
2020,120          ,484246
2020,053          ,7512
2019,060          ,1055513
2019,016          ,234241
2019,054          ,53018
2017,039          ,14765
2017,128          ,179116
2016,024          ,53287
2015,137          ,1763
2018,013          ,1432498
2018,160          ,426783
2018,102          ,1757
2020,112          ,442719
2020,017          ,103622
2020,115          ,17031
2019,161          ,112753
2019,123          ,8555
2017,050          ,1140208
2016,030          ,1975246
2016,064          ,44090
2016,055          ,131754
2018,040          ,6371201
2018,024          ,49740
2020,126          ,9
2020,026          ,85983
2020,142          ,2881
2019,042          ,6168790
2019,030          ,1399941
2017,060          ,1304250
2017,072          ,297859
2015,017          ,428060
2015,072          ,301836
2015,044          ,104065
2018,142          ,20989
2018,145          ,72560
2018,137          ,2683
2020,111          ,379490
2020,162          ,11205
2020,145          ,15235
2019,035          ,196646
2019,044          ,98430
2017,160          ,497417
2017,164          ,114158
2015,201          ,1145
2015,063          ,21821
2015,064          ,33616
2018,091          ,30966
2020,105          ,13110
2020,131          ,13414
2019,071          ,1184739
2019,045          ,122947
2019,114          ,479192
2019,180          ,587784
2017,064          ,46078
2016,090          ,2445143
2016,020          ,6931177
2016,040          ,7417232
2016,194          ,208927
2017,121          ,4069
2015,040          ,5658633
2016,092          ,4840
2015,163          ,120523
2016,136          ,959
2015,123          ,9849
2018,018          ,154992
2020,040          ,1468738
2020,110          ,376878
2020,154          ,36367
2019,031          ,356936
2020,116          ,412
2017,111          ,2037396
2017,180          ,766166
2015,046          ,2989464
2015,166          ,18705
2018,055          ,110442
2018,035          ,220714
2019,185          ,6127
2020,084          ,405654
2020,050          ,233641
2020,164          ,22517
2019,101          ,81807
2017,081          ,224973
2017,152          ,26583
2017,139          ,35323
2016,145          ,96115
2019,102          ,1286
2019,010          ,6306918
2019,021          ,159514
2019,023          ,265501
2019,162          ,37466
2016,060          ,1447695
2016,018          ,215773
2016,019          ,16603
2015,057          ,1258344
2018,017          ,465086
2018,190          ,3639637
2018,124          ,120044
2018,105          ,60444
2020,045          ,31843
2020,185          ,1644
2017,024          ,55662
2017,174          ,186830
2017,122          ,28595
2015,073          ,432495
