MonthYear,Actor1CountryCode,EventsMentions35up
202004   ,BRA              ,39
202004   ,IRN              ,68
202004   ,KWT              ,2
201707   ,VEN              ,623
201707   ,SVK              ,21
201707   ,PHL              ,72
201707   ,BRN              ,9
201707   ,PAN              ,37
201707   ,LTU              ,34
201707   ,HUN              ,60
201707   ,IND              ,71
201704   ,CZE              ,41
202003   ,SWE              ,48
201703   ,GBR              ,1055
201703   ,FIN              ,59
201703   ,CHE              ,125
201703   ,YEM              ,329
201703   ,KEN              ,52
201703   ,UZB              ,9
202005   ,SOM              ,5
202005   ,KAZ              ,3
201611   ,ECU              ,48
201611   ,BRA              ,115
201611   ,RWA              ,15
201611   ,KNA              ,1
201701   ,JPN              ,138
201701   ,ARM              ,55
201701   ,RUS              ,647
201704   ,GUY              ,5
201608   ,BLR              ,19
201608   ,ITA              ,189
201706   ,POL              ,108
201706   ,CHN              ,343
201706   ,SOM              ,46
201706   ,IRQ              ,194
201609   ,ECU              ,56
201609   ,SEN              ,8
201708   ,WST              ,38
201708   ,SEA              ,36
201612   ,SAU              ,150
201803   ,ESP              ,196
201701   ,NIC              ,51
201701   ,ETH              ,13
201803   ,EST              ,20
201803   ,ETH              ,34
201711   ,LBN              ,165
201605   ,PSE              ,111
201705   ,PHL              ,138
201802   ,MEX              ,90
201802   ,PRT              ,61
201804   ,OMN              ,12
201805   ,UKR              ,190
201805   ,TUR              ,238
201601   ,IDN              ,76
201701   ,GNQ              ,2
201709   ,TWN              ,13
201805   ,CHE              ,52
201805   ,SDN              ,13
201608   ,BHS              ,2
201801   ,HRV              ,27
201712   ,BFA              ,4
201710   ,ETH              ,22
201710   ,CHE              ,80
201712   ,DOM              ,9
201607   ,PSE              ,73
201607   ,SGP              ,21
201607   ,BTN              ,3
201605   ,ALB              ,170
201505   ,TUR              ,216
201504   ,SOM              ,37
201507   ,TKM              ,6
201804   ,ZMB              ,15
201804   ,VUT              ,3
201812   ,BGR              ,47
201807   ,TUN              ,28
201512   ,IRN              ,120
201606   ,THA              ,47
201606   ,ATG              ,3
201801   ,MEA              ,7
201902   ,NLD              ,36
201902   ,TKM              ,1
201703   ,SLE              ,5
201603   ,DOM              ,13
201901   ,ZMB              ,3
201510   ,KAZ              ,8
201809   ,SYC              ,5
201808   ,NAM              ,9
201503   ,PAN              ,32
201604   ,BOL              ,42
201602   ,LVA              ,11
201601   ,CYP              ,34
201604   ,CYP              ,26
201603   ,BFA              ,26
201510   ,PNG              ,9
201504   ,JOR              ,66
201503   ,SOM              ,20
201710   ,HKG              ,2
201603   ,SLV              ,21
201603   ,CIV              ,22
201806   ,ISL              ,4
201510   ,LKA              ,6
201512   ,NPL              ,7
201612   ,NAM              ,1
201810   ,AFG              ,107
201810   ,NIC              ,16
201504   ,COK              ,1
201906   ,HUN              ,35
201906   ,NZL              ,17
201906   ,SOM              ,3
201808   ,MUS              ,2
201902   ,SLE              ,2
201508   ,FIN              ,29
201512   ,CAF              ,6
201908   ,IRL              ,138
201601   ,LAO              ,22
201512   ,TWN              ,13
201707   ,WSM              ,1
201909   ,IRQ              ,33
201508   ,DZA              ,19
201511   ,LSO              ,6
201505   ,ISL              ,7
201905   ,AFR              ,63
201503   ,TJK              ,5
201804   ,DJI              ,6
201907   ,MLI              ,9
201508   ,FJI              ,4
201908   ,THA              ,20
201903   ,THA              ,20
201510   ,TCD              ,12
201808   ,LKA              ,20
201504   ,CMR              ,7
201810   ,BHS              ,2
201910   ,EUR              ,335
201910   ,BEL              ,92
201910   ,NLD              ,44
201902   ,BHS              ,2
201812   ,MOZ              ,10
201502   ,MYS              ,5
201912   ,SWE              ,53
201905   ,COG              ,3
201509   ,BWA              ,2
201908   ,LUX              ,14
202001   ,                 ,8084
201907   ,CMR              ,5
201911   ,IRL              ,135
201912   ,ETH              ,2
201910   ,TON              ,1
202001   ,YEM              ,14
201911   ,MDV              ,37
202002   ,CZE              ,11
202002   ,ECU              ,5
201912   ,TGO              ,4
201810   ,DJI              ,2
202002   ,MNG              ,1
202002   ,PNG              ,1
202002   ,TJK              ,1
202001   ,GMB              ,3
202005   ,KOR              ,61
201704   ,HND              ,33
201904   ,IRL              ,154
201703   ,DNK              ,76
202005   ,VAT              ,8
201611   ,SAF              ,4
201701   ,MYS              ,36
201702   ,BRA              ,164
202005   ,LSO              ,1
201706   ,YEM              ,329
201706   ,PRY              ,53
201706   ,TTO              ,4
201706   ,LTU              ,25
201706   ,SSD              ,27
201606   ,AFG              ,143
201702   ,BMU              ,4
201610   ,MYS              ,30
201610   ,CRI              ,10
201610   ,ISL              ,14
201703   ,TGO              ,15
201509   ,ERI              ,7
201609   ,MDA              ,37
201609   ,DOM              ,35
201609   ,SMR              ,1
201709   ,TKM              ,4
201607   ,BRA              ,112
201602   ,TUR              ,600
201611   ,AND              ,2
201612   ,AUT              ,54
201612   ,TUN              ,103
201612   ,WST              ,42
201612   ,VEN              ,138
201612   ,ZAF              ,6
201606   ,SWE              ,93
201803   ,NZL              ,53
201803   ,KGZ              ,22
201601   ,EUR              ,363
201711   ,EST              ,24
201705   ,CHL              ,106
201705   ,MDV              ,90
201705   ,BHR              ,30
201705   ,NLD              ,56
201802   ,NGA              ,73
201802   ,FJI              ,1
201802   ,MRT              ,11
201805   ,BGR              ,203
201803   ,NPL              ,10
201511   ,HTI              ,12
201606   ,LVA              ,20
201610   ,ERI              ,13
201702   ,SLE              ,3
201805   ,HRV              ,35
201801   ,AUS              ,149
201802   ,TUN              ,43
201710   ,AFR              ,71
201805   ,CYP              ,38
201805   ,PRY              ,10
201712   ,LUX              ,16
201712   ,SSD              ,17
201504   ,AUS              ,644
201602   ,JOR              ,49
201503   ,MAR              ,31
201604   ,CHE              ,89
201504   ,CHL              ,16
201510   ,ESP              ,152
201508   ,ESP              ,107
201509   ,VEN              ,136
201709   ,NIC              ,14
201807   ,ALB              ,78
201807   ,COL              ,37
201807   ,VNM              ,27
201601   ,DJI              ,15
201512   ,COL              ,39
201606   ,NAM              ,4
201902   ,DNK              ,33
201804   ,TUV              ,1
201509   ,MCO              ,22
201602   ,YEM              ,61
201703   ,LAM              ,4
201809   ,MMR              ,62
201809   ,PAN              ,8
201809   ,ZAF              ,18
201603   ,ETH              ,25
201510   ,PER              ,64
201811   ,ARE              ,38
201811   ,RWA              ,4
201506   ,ARG              ,32
201505   ,LTU              ,36
201609   ,LIE              ,1
201505   ,ETH              ,20
201604   ,MDV              ,66
201602   ,SGP              ,22
201508   ,SLE              ,5
201512   ,MYS              ,23
201806   ,VNM              ,20
201903   ,ERI              ,2
201902   ,SEN              ,9
201510   ,HRV              ,50
201901   ,BHS              ,3
201512   ,ARM              ,23
201906   ,COG              ,11
201801   ,KIR              ,2
201808   ,SEN              ,8
201908   ,SOM              ,4
201906   ,TZA              ,5
201909   ,IRN              ,210
201503   ,MEA              ,3
201811   ,MUS              ,12
201907   ,CHL              ,8
201511   ,ZAF              ,23
201905   ,POL              ,42
201905   ,BWA              ,3
201506   ,HKG              ,1
201601   ,SEN              ,6
201604   ,MEA              ,4
201903   ,JAM              ,2
201810   ,PRY              ,4
201510   ,SGP              ,10
201910   ,CAN              ,138
201910   ,MDV              ,24
201910   ,NPL              ,10
201810   ,AIA              ,1
201809   ,CRI              ,2
201809   ,LSO              ,1
201809   ,MNG              ,4
201601   ,COM              ,1
201812   ,SSD              ,5
201903   ,URY              ,1
201812   ,MYS              ,13
201903   ,PNG              ,1
201910   ,SDN              ,15
201912   ,CYP              ,20
201912   ,SYR              ,124
201509   ,KNA              ,3
202002   ,GBR              ,913
202002   ,GHA              ,2
202002   ,SSD              ,6
201812   ,SAS              ,2
202006   ,LBY              ,9
201903   ,TGO              ,2
202001   ,IRN              ,357
201602   ,TGO              ,1
201602   ,SWZ              ,1
201507   ,TGO              ,3
201909   ,WST              ,5
201911   ,GHA              ,6
201511   ,BRB              ,1
202002   ,SWZ              ,2
202002   ,UGA              ,7
202001   ,COD              ,3
201912   ,TCD              ,1
201912   ,MAC              ,1
201911   ,WAF              ,1
202001   ,PGS              ,1
202004   ,TGO              ,2
202004   ,IND              ,9
202004   ,SYR              ,24
202005   ,PRY              ,2
202005   ,EGY              ,26
202005   ,SDN              ,7
201704   ,SRB              ,94
201612   ,                 ,22907
201701   ,EUR              ,427
201701   ,PRT              ,42
201702   ,SAU              ,118
201702   ,PHL              ,86
201608   ,GRC              ,150
201608   ,WST              ,27
201706   ,NIC              ,32
201706   ,SGP              ,25
201706   ,MRT              ,10
201610   ,SWE              ,78
201609   ,                 ,23177
201703   ,EST              ,17
201703   ,MNG              ,7
201609   ,LBN              ,54
201708   ,GIN              ,8
201708   ,LUX              ,5
201702   ,GUY              ,6
201612   ,MLI              ,17
201512   ,ITA              ,88
201803   ,BGD              ,34
201803   ,BEN              ,1
201803   ,ARG              ,82
201711   ,TCD              ,12
201705   ,TUN              ,87
201605   ,HTI              ,34
201705   ,PSE              ,150
201804   ,BOL              ,39
201804   ,MEX              ,162
201804   ,TCD              ,7
201804   ,TUN              ,37
201805   ,LBN              ,53
201805   ,NGA              ,27
201704   ,TCD              ,5
201602   ,IRQ              ,107
201602   ,ITA              ,146
201801   ,FRA              ,316
201710   ,GRC              ,133
201710   ,KEN              ,80
201712   ,HRV              ,47
201712   ,TWN              ,8
201712   ,GUY              ,12
201607   ,VAT              ,51
201605   ,CHL              ,77
201603   ,AUS              ,395
201502   ,TUR              ,96
201508   ,UKR              ,157
201509   ,VAT              ,53
201502   ,NGA              ,18
201511   ,AFR              ,103
201710   ,AND              ,3
201804   ,HND              ,13
201709   ,ZMB              ,1
201812   ,BTN              ,1
201812   ,LBN              ,29
201812   ,PER              ,25
201811   ,GTM              ,9
201902   ,                 ,10113
201902   ,JOR              ,31
201902   ,CHL              ,11
201712   ,SAS              ,3
201804   ,BWA              ,3
201510   ,TGO              ,5
201703   ,AND              ,3
201903   ,                 ,11662
201904   ,SWE              ,49
201901   ,EUR              ,211
201901   ,CZE              ,10
201901   ,CMR              ,9
201809   ,IND              ,50
201809   ,GRC              ,127
201809   ,RWA              ,22
201809   ,SWE              ,63
201506   ,GTM              ,12
201502   ,CYP              ,10
201504   ,YEM              ,165
201605   ,MAR              ,79
201605   ,CMR              ,14
201907   ,NLD              ,44
201907   ,KAZ              ,13
201802   ,ERI              ,7
201710   ,COG              ,5
201504   ,PRT              ,24
201506   ,ECU              ,11
201509   ,KGZ              ,6
201806   ,NZL              ,33
201806   ,ITA              ,232
201506   ,ARE              ,17
201903   ,CAN              ,206
201903   ,FJI              ,3
201902   ,BOL              ,8
202006   ,DNK              ,6
201810   ,KEN              ,20
201509   ,NZL              ,62
201906   ,IRL              ,70
201906   ,KWT              ,5
201808   ,TZA              ,6
201810   ,GIN              ,2
201908   ,KHM              ,8
201605   ,MYS              ,34
201502   ,IDN              ,28
201909   ,RUS              ,307
201909   ,JPN              ,55
201909   ,THA              ,24
201909   ,YEM              ,37
201505   ,CRB              ,1
201811   ,SWZ              ,1
201906   ,UZB              ,7
201905   ,TWN              ,14
201909   ,TGO              ,1
201705   ,GAB              ,2
202006   ,GHA              ,2
202006   ,VNM              ,2
201512   ,SAS              ,2
201605   ,CYM              ,2
201509   ,LAO              ,6
201511   ,HKG              ,4
201510   ,CMR              ,7
201910   ,                 ,10005
201910   ,SRB              ,23
201701   ,KIR              ,1
201603   ,ISL              ,5
201902   ,NER              ,1
201806   ,GMB              ,12
201901   ,TKM              ,1
201809   ,FSM              ,2
201512   ,GIN              ,7
201910   ,SHN              ,1
201912   ,UKR              ,142
202002   ,FIN              ,22
202002   ,TUR              ,199
201907   ,BWA              ,3
202001   ,BRA              ,23
202001   ,MLI              ,12
201908   ,HTI              ,3
201501   ,MKD              ,1
201505   ,BRB              ,1
202003   ,HUN              ,12
202005   ,MLI              ,3
202002   ,NIC              ,1
201912   ,BLR              ,9
201912   ,SEN              ,2
202003   ,SSD              ,5
201507   ,BTN              ,1
201903   ,MWI              ,5
201808   ,TMP              ,2
201911   ,GTM              ,11
201911   ,MUS              ,5
201501   ,HND              ,1
201507   ,MEA              ,1
202003   ,CAF              ,1
201501   ,IRQ              ,1
202004   ,AUT              ,7
202004   ,DEU              ,122
202005   ,PER              ,13
201707   ,TWN              ,15
201703   ,                 ,27060
201604   ,ESP              ,206
202003   ,GRC              ,80
202003   ,QAT              ,5
201611   ,GTM              ,68
201611   ,HUN              ,53
201611   ,WST              ,59
201701   ,MDA              ,23
201701   ,LTU              ,44
201702   ,CHL              ,65
201702   ,CUB              ,96
201602   ,NLD              ,50
201608   ,SAU              ,213
201704   ,NRU              ,1
201610   ,KWT              ,39
201609   ,COG              ,17
201609   ,BLR              ,31
201905   ,ITA              ,114
201711   ,NLD              ,55
201612   ,AFR              ,135
201611   ,GMB              ,3
201803   ,ITA              ,136
201803   ,CHN              ,340
201803   ,GUY              ,10
201803   ,HND              ,15
201803   ,KEN              ,33
201705   ,EST              ,24
201705   ,KAZ              ,27
201705   ,PRK              ,201
201804   ,ARM              ,125
201609   ,TTO              ,1
201708   ,TTO              ,1
201606   ,TKM              ,5
201602   ,UGA              ,23
201801   ,DJI              ,2
201703   ,DMA              ,1
201711   ,MUS              ,10
201711   ,PSE              ,68
201711   ,VNM              ,57
201712   ,OMN              ,14
201705   ,KHM              ,21
201611   ,MRT              ,1
201607   ,TCD              ,8
201607   ,MDA              ,22
201607   ,GHA              ,6
201502   ,POL              ,23
201602   ,UKR              ,125
201605   ,BEL              ,156
201604   ,NGA              ,81
201802   ,CAF              ,9
201804   ,NPL              ,11
201812   ,JPN              ,61
201812   ,AZE              ,4
201811   ,SEA              ,5
201807   ,MDA              ,32
201807   ,ETH              ,50
201606   ,YEM              ,99
201606   ,VNM              ,30
201902   ,KOR              ,65
201610   ,MHL              ,1
201604   ,PNG              ,20
201508   ,YEM              ,93
201603   ,MKD              ,99
201607   ,BMU              ,1
201601   ,LBY              ,62
201809   ,PHL              ,33
201809   ,GAB              ,1
201607   ,PGS              ,4
201811   ,SLE              ,5
201601   ,KOR              ,77
201511   ,NGA              ,40
201504   ,CYP              ,12
201806   ,SAS              ,2
201504   ,MDA              ,6
201903   ,SWE              ,41
201803   ,ZMB              ,2
201810   ,DEU              ,260
201801   ,LBR              ,3
201512   ,DNK              ,28
201906   ,AFG              ,55
201906   ,BTN              ,1
201808   ,YEM              ,108
201808   ,LTU              ,14
201808   ,MEX              ,95
201808   ,IRN              ,290
201808   ,BLR              ,12
201808   ,KGZ              ,23
201808   ,NMR              ,6
201503   ,QAT              ,20
201810   ,LBY              ,8
201504   ,SLE              ,4
201605   ,BFA              ,3
201605   ,KGZ              ,16
201906   ,EST              ,12
201906   ,OMN              ,10
201509   ,ARG              ,37
201502   ,PHL              ,8
201604   ,TMP              ,2
201908   ,QAT              ,5
201809   ,KGZ              ,3
201809   ,LBN              ,24
201604   ,VCT              ,2
201507   ,AZE              ,14
201909   ,OMN              ,7
201905   ,DJI              ,1
201811   ,FJI              ,1
202006   ,CIV              ,1
202006   ,CHE              ,7
201604   ,SEN              ,6
201910   ,MCO              ,3
201806   ,KWT              ,15
201806   ,TTO              ,3
201802   ,NMR              ,2
201906   ,TJK              ,5
201710   ,CRB              ,1
201505   ,BWA              ,4
201502   ,MDG              ,1
202006   ,IND              ,3
202006   ,YEM              ,2
201812   ,LKA              ,12
201704   ,LSO              ,2
201909   ,EST              ,6
201510   ,MNG              ,2
202004   ,LBY              ,11
201502   ,NPL              ,1
201907   ,SVK              ,2
201506   ,KAZ              ,9
201912   ,LTU              ,5
201812   ,MHL              ,1
202006   ,CYP              ,1
202006   ,KAZ              ,1
201707   ,NMR              ,1
201502   ,SGP              ,1
