MonthYear,Actor1CountryCode,EventsMentions45up
201809   ,GHA              ,11
201505   ,MDG              ,2
201906   ,WSM              ,2
201508   ,VCT              ,1
201503   ,KGZ              ,3
201509   ,BRB              ,1
201902   ,SVK              ,7
201903   ,MWI              ,1
201606   ,CYM              ,4
201606   ,GAB              ,1
201604   ,BMU              ,1
201606   ,ZAF              ,8
201503   ,SLV              ,3
201907   ,MMR              ,1
202005   ,ZAF              ,2
201608   ,MRT              ,2
201904   ,VCT              ,1
202004   ,FRA              ,50
201602   ,GBR              ,222
201707   ,GBR              ,332
201707   ,KGZ              ,21
201707   ,IDN              ,31
201608   ,NZL              ,25
201608   ,KAZ              ,13
201611   ,KGZ              ,3
201611   ,PRT              ,33
201611   ,KNA              ,1
201704   ,CAF              ,2
201511   ,GBR              ,217
201704   ,MCO              ,16
201703   ,PHL              ,40
201610   ,PRK              ,20
201701   ,PAK              ,46
201708   ,ITA              ,84
201708   ,DZA              ,15
201609   ,RWA              ,4
201509   ,                 ,8410
201609   ,CHL              ,66
201609   ,NOR              ,31
201609   ,NRU              ,2
201509   ,IDN              ,24
201509   ,ESP              ,79
201612   ,CYP              ,21
201610   ,KWT              ,24
201609   ,UZB              ,15
201702   ,KEN              ,25
201606   ,AUS              ,192
201605   ,COL              ,171
201704   ,MYS              ,5
201705   ,VNM              ,10
201607   ,NOR              ,28
201612   ,TCD              ,2
201702   ,AGO              ,2
201611   ,GRD              ,2
201709   ,ARE              ,25
201709   ,CHL              ,23
201802   ,IRN              ,91
201802   ,KWT              ,37
201802   ,HRV              ,37
201803   ,ETH              ,13
201803   ,NGA              ,21
201801   ,COG              ,5
201711   ,SRB              ,36
201711   ,SEN              ,2
201802   ,GIN              ,3
201711   ,MRT              ,8
201801   ,CHE              ,86
201804   ,ESP              ,62
201804   ,BGR              ,47
201710   ,GUY              ,2
201805   ,AFG              ,50
201706   ,TJK              ,2
201504   ,IND              ,25
201504   ,MEX              ,48
201502   ,CAN              ,32
201601   ,MAR              ,21
201701   ,BFA              ,2
201504   ,AFG              ,87
201605   ,NGA              ,46
201801   ,SEA              ,8
201507   ,KOR              ,46
201505   ,FRA              ,189
201509   ,JOR              ,23
201506   ,EGY              ,98
201803   ,YEM              ,17
201803   ,SEA              ,5
201604   ,SEA              ,12
201605   ,UKR              ,74
201803   ,MCO              ,13
201507   ,IRQ              ,70
201712   ,CMR              ,14
201801   ,NER              ,2
201901   ,IND              ,13
201506   ,JOR              ,38
201509   ,NIC              ,5
201504   ,CYP              ,7
201602   ,LBY              ,35
201907   ,PAK              ,21
201603   ,YEM              ,45
201807   ,ETH              ,30
201807   ,FRA              ,120
201506   ,BOL              ,4
201605   ,SOM              ,15
201912   ,USA              ,760
201912   ,ARG              ,5
201812   ,                 ,5865
201510   ,BFA              ,5
201911   ,EST              ,1
201910   ,SWE              ,28
201910   ,IRL              ,142
201811   ,EUR              ,237
201811   ,RUS              ,296
201906   ,POL              ,25
201503   ,CUB              ,22
201910   ,PSE              ,4
201810   ,AFR              ,52
201507   ,RWA              ,6
201905   ,WST              ,8
201506   ,SGP              ,7
201904   ,QAT              ,5
202003   ,MLT              ,2
201806   ,VEN              ,22
201806   ,SDN              ,9
201807   ,NPL              ,1
201603   ,ROM              ,2
201512   ,SOM              ,13
201812   ,ALB              ,20
201812   ,PSE              ,21
201901   ,CAF              ,1
201903   ,SOM              ,8
201903   ,BHS              ,1
201912   ,KOR              ,31
201811   ,CHL              ,8
201606   ,PNG              ,7
201602   ,CAF              ,4
201607   ,COG              ,4
201911   ,HND              ,6
201502   ,KHM              ,5
201808   ,UGA              ,17
201809   ,WSM              ,3
201603   ,RWA              ,1
201511   ,MNG              ,3
201911   ,MCO              ,3
201501   ,COL              ,2
201606   ,ZWE              ,3
201502   ,IRL              ,2
201906   ,SVK              ,2
201604   ,TGO              ,4
201907   ,HND              ,4
201710   ,MRT              ,1
201504   ,SAF              ,1
201911   ,SYC              ,1
201911   ,URY              ,1
201903   ,COD              ,3
201909   ,GHA              ,1
202004   ,IRQ              ,12
202004   ,SDN              ,1
202004   ,BEL              ,10
202004   ,NIC              ,1
201702   ,LBY              ,53
201702   ,PRY              ,26
201702   ,GTM              ,57
201702   ,IRL              ,40
201707   ,BHR              ,22
201707   ,TTO              ,8
201708   ,ESP              ,306
201608   ,SVK              ,10
201608   ,TUN              ,16
201611   ,AFG              ,78
201704   ,USA              ,2241
201704   ,LBN              ,63
201704   ,CYP              ,35
201704   ,BEL              ,56
201703   ,JOR              ,57
201703   ,ESP              ,152
201703   ,IRQ              ,185
201703   ,BGD              ,17
201610   ,ISL              ,7
201706   ,MDV              ,56
201609   ,TUR              ,239
201706   ,LBR              ,6
201612   ,JOR              ,43
201612   ,EUR              ,286
201612   ,THA              ,10
201612   ,PAK              ,45
201703   ,LSO              ,1
201509   ,COL              ,60
201608   ,SAS              ,5
201610   ,MRT              ,2
201705   ,LTU              ,22
201705   ,PHL              ,77
201705   ,PRT              ,27
201512   ,DOM              ,3
201705   ,UGA              ,14
201612   ,STP              ,1
201707   ,NAM              ,1
201709   ,MEX              ,92
201709   ,EST              ,26
201709   ,MAR              ,24
201710   ,SAU              ,125
201710   ,ETH              ,15
201711   ,CHN              ,174
201711   ,UZB              ,13
201802   ,KHM              ,17
201802   ,EST              ,8
201801   ,ESP              ,130
201801   ,NLD              ,27
201801   ,SAU              ,80
201801   ,ZAF              ,2
201711   ,JOR              ,29
201712   ,YEM              ,77
201804   ,EGY              ,77
201805   ,EUR              ,277
201805   ,SRB              ,56
201801   ,CRI              ,2
201711   ,BOL              ,7
201711   ,GIN              ,1
201610   ,PGS              ,1
201804   ,SVK              ,16
201710   ,CMR              ,8
201510   ,PAK              ,32
201503   ,IRQ              ,80
201801   ,CZE              ,19
201603   ,ARE              ,34
201605   ,YEM              ,82
201507   ,CUB              ,38
201512   ,MDV              ,38
201512   ,CHE              ,22
201605   ,GRC              ,132
201504   ,FIN              ,13
201712   ,PHL              ,12
201712   ,GHA              ,3
201901   ,CUB              ,11
201905   ,BGR              ,18
201512   ,PSE              ,35
201601   ,SGP              ,9
201509   ,PRT              ,17
201807   ,TJK              ,6
201908   ,DEU              ,89
201510   ,HKG              ,9
201901   ,SRB              ,16
201901   ,IRQ              ,10
201604   ,MDG              ,5
201712   ,TGO              ,12
201605   ,SSD              ,8
201508   ,COD              ,4
201911   ,BEN              ,8
201910   ,NLD              ,27
201602   ,NRU              ,15
201811   ,DEU              ,125
201811   ,NLD              ,23
201811   ,AZE              ,3
201808   ,KEN              ,19
201808   ,KWT              ,2
201908   ,NAM              ,4
201503   ,ZAF              ,5
201904   ,SWE              ,34
202006   ,KOR              ,1
201909   ,AUT              ,12
201601   ,LAO              ,16
201902   ,ISR              ,35
201902   ,NGA              ,15
201807   ,SRB              ,79
201605   ,RWA              ,6
201508   ,ARE              ,5
201908   ,LBY              ,9
201812   ,SSD              ,3
201812   ,IND              ,20
202002   ,MAR              ,5
202002   ,NGA              ,16
202002   ,VNM              ,1
201511   ,ETH              ,10
201810   ,NGA              ,9
201807   ,SOM              ,17
201807   ,CHE              ,18
201606   ,VEN              ,123
201606   ,NAM              ,2
201907   ,KAZ              ,12
201605   ,BHR              ,11
201511   ,VUT              ,1
202002   ,TUN              ,3
201911   ,KAZ              ,8
201606   ,FJI              ,1
201607   ,CRI              ,8
201911   ,NPL              ,2
201902   ,CRI              ,3
201809   ,NGA              ,8
201603   ,SWZ              ,1
201808   ,BLR              ,9
201904   ,MRT              ,1
201603   ,KNA              ,1
201903   ,NAM              ,2
201804   ,RWA              ,3
201509   ,GMB              ,1
202006   ,CZE              ,1
201511   ,HND              ,4
201912   ,ARM              ,2
201512   ,LTU              ,1
202003   ,LVA              ,2
201503   ,MWI              ,3
201902   ,EST              ,2
201801   ,WAF              ,1
202004   ,NLD              ,11
202004   ,PAN              ,2
202004   ,MOZ              ,2
201707   ,VEN              ,481
201707   ,CYP              ,17
201707   ,BOL              ,61
201608   ,DZA              ,16
201608   ,HND              ,35
201608   ,ZAF              ,7
201704   ,GUY              ,5
201704   ,ISL              ,6
201703   ,BEL              ,119
201703   ,GMB              ,3
201610   ,HTI              ,53
201708   ,NER              ,1
201706   ,RUS              ,481
201708   ,MHL              ,3
201609   ,IRN              ,151
201609   ,PRK              ,61
201609   ,JAM              ,13
201707   ,MHL              ,2
201609   ,TZA              ,3
201607   ,TUR              ,638
201608   ,CAF              ,7
201703   ,MEA              ,6
201612   ,VAT              ,31
201705   ,UKR              ,95
201705   ,TZA              ,4
201612   ,ZAF              ,4
201602   ,PHL              ,42
201512   ,AUS              ,268
201601   ,BGD              ,3
201609   ,PLW              ,1
201709   ,JOR              ,31
201709   ,NGA              ,6
201709   ,VCT              ,2
201710   ,YEM              ,61
201803   ,BEL              ,61
201603   ,ZWE              ,2
201711   ,GBR              ,365
201801   ,EGY              ,150
201711   ,BLR              ,17
201712   ,NZL              ,14
201802   ,ISL              ,4
201801   ,VNM              ,23
201804   ,MEX              ,89
201804   ,CUB              ,28
201804   ,JAM              ,7
201805   ,GBR              ,426
201805   ,SVK              ,13
201512   ,PER              ,6
201604   ,RUS              ,220
201507   ,USA              ,2600
201503   ,JOR              ,28
201507   ,DEU              ,190
201605   ,MKD              ,104
201801   ,PAN              ,7
201711   ,WSM              ,1
201805   ,PRT              ,9
201806   ,AUS              ,96
201505   ,CHN              ,214
201604   ,BGR              ,58
201603   ,IRQ              ,72
201502   ,COL              ,2
201508   ,SOM              ,23
201508   ,POL              ,23
201604   ,ZAF              ,5
201608   ,NRU              ,4
201712   ,CHE              ,24
201710   ,BDI              ,2
201710   ,SAS              ,1
201504   ,ECU              ,7
201509   ,EGY              ,52
202001   ,MDA              ,2
201912   ,GBR              ,415
201907   ,NER              ,2
201601   ,KOR              ,34
201504   ,JAM              ,12
201807   ,COD              ,4
201807   ,QAT              ,14
201603   ,CYP              ,35
201604   ,CIV              ,2
201510   ,MDA              ,12
201510   ,IDN              ,51
201912   ,EUR              ,110
201812   ,PRK              ,25
201603   ,MYS              ,17
201511   ,LKA              ,5
201605   ,LKA              ,8
201508   ,SVK              ,7
201910   ,UKR              ,81
201910   ,AGO              ,3
201811   ,TCD              ,4
201811   ,NAM              ,3
201511   ,SEA              ,11
201506   ,OMN              ,9
201602   ,BFA              ,8
201807   ,JOR              ,37
201511   ,EST              ,7
201908   ,KWT              ,3
201810   ,GBR              ,672
201505   ,BOL              ,5
201909   ,SDN              ,9
201504   ,NAM              ,4
201607   ,SLV              ,24
201607   ,ITA              ,112
201806   ,SAU              ,52
201510   ,PHL              ,13
201902   ,MCO              ,6
201902   ,CAN              ,82
201807   ,IRQ              ,44
201908   ,TZA              ,2
201812   ,COL              ,6
201812   ,LUX              ,18
201906   ,COG              ,7
201906   ,BRN              ,1
201905   ,BHS              ,1
201606   ,COG              ,9
201606   ,IRL              ,31
201907   ,FIN              ,16
201503   ,ERI              ,2
201902   ,ARG              ,3
201501   ,EUR              ,8
201508   ,GTM              ,7
201810   ,BTN              ,10
201804   ,MDG              ,1
201603   ,NAM              ,2
201502   ,BRA              ,7
201809   ,AZE              ,20
201809   ,TUR              ,118
201601   ,SRB              ,8
201604   ,GUY              ,4
201808   ,PAN              ,1
201904   ,BLZ              ,1
201901   ,CIV              ,1
201910   ,PGS              ,1
201603   ,LBR              ,6
201505   ,ATG              ,1
201907   ,BRB              ,1
201801   ,MLT              ,2
201602   ,RWA              ,4
201806   ,GUY              ,10
201908   ,TGO              ,1
201912   ,LUX              ,3
201508   ,KHM              ,1
201810   ,GIN              ,1
201901   ,LAO              ,1
202003   ,EST              ,1
202003   ,NOR              ,2
202003   ,MKD              ,2
201812   ,HTI              ,1
202005   ,CAN              ,56
202005   ,ITA              ,33
201905   ,UKR              ,67
202005   ,MAR              ,3
202005   ,IRQ              ,16
202004   ,IDN              ,8
202003   ,FRA              ,58
201904   ,                 ,6393
202005   ,TTO              ,1
202004   ,SLV              ,2
201707   ,ETH              ,12
201608   ,MEX              ,95
201608   ,CHN              ,169
201608   ,NIC              ,40
201703   ,CHE              ,80
201703   ,NIC              ,31
201610   ,CHE              ,61
201610   ,AUT              ,23
201706   ,AGO              ,2
201609   ,GAB              ,21
201609   ,CHE              ,48
201510   ,PRK              ,19
201612   ,CAN              ,96
201612   ,FRA              ,201
201612   ,GTM              ,48
201612   ,POL              ,60
201608   ,PGS              ,3
201705   ,BGR              ,28
201705   ,DZA              ,31
201705   ,EGY              ,164
201702   ,TKM              ,4
201702   ,MDG              ,1
201704   ,WAF              ,1
201803   ,MEX              ,87
201711   ,IRN              ,109
201802   ,AZE              ,33
201802   ,BOL              ,29
201712   ,IRN              ,121
201709   ,VNM              ,12
201804   ,YEM              ,37
201804   ,KWT              ,13
201712   ,SOM              ,11
201710   ,MMR              ,55
201805   ,CMR              ,6
201505   ,IRN              ,159
201601   ,IRN              ,236
201506   ,SWE              ,37
201504   ,GBR              ,251
201505   ,EAF              ,16
202006   ,FIN              ,3
201510   ,CHL              ,9
201602   ,ESP              ,63
201805   ,KHM              ,10
201511   ,VNM              ,13
201508   ,LVA              ,14
201511   ,SAU              ,46
201507   ,BEL              ,53
201506   ,PAN              ,16
201501   ,AFG              ,3
201601   ,PRT              ,14
201901   ,AUT              ,7
201505   ,BGD              ,48
201907   ,MYS              ,7
201512   ,SRB              ,10
201807   ,DEU              ,189
201503   ,CYP              ,14
201506   ,LTU              ,8
201912   ,CHN              ,81
202006   ,AFR              ,2
201901   ,SDN              ,12
201605   ,UGA              ,18
201604   ,MEA              ,2
201804   ,BLR              ,8
201910   ,DZA              ,5
201910   ,EGY              ,15
201509   ,MCO              ,13
201904   ,TUR              ,102
201607   ,PRT              ,26
201607   ,TGO              ,21
201510   ,MOZ              ,3
202003   ,LBY              ,7
201806   ,TTO              ,2
201806   ,POL              ,46
201902   ,ESP              ,51
201908   ,COD              ,6
201806   ,JAM              ,5
201504   ,CMR              ,6
202002   ,POL              ,19
202002   ,PSE              ,10
201809   ,KOR              ,53
201606   ,JOR              ,45
201606   ,ARE              ,24
201606   ,CYP              ,22
201903   ,AFG              ,35
201903   ,BHR              ,1
201607   ,KGZ              ,2
201811   ,KHM              ,15
201603   ,ZMB              ,2
201906   ,PHL              ,7
201906   ,THA              ,8
201911   ,SEA              ,10
201607   ,OMN              ,3
201511   ,SDN              ,6
201808   ,BFA              ,2
201902   ,MYS              ,5
201809   ,JPN              ,51
201809   ,AFG              ,32
201812   ,COD              ,7
201603   ,MWI              ,1
201602   ,TON              ,1
201605   ,PGS              ,3
201810   ,HTI              ,5
201902   ,MAR              ,17
201504   ,AZE              ,4
201809   ,TUN              ,5
201501   ,FRA              ,3
201907   ,SEA              ,3
201901   ,DOM              ,1
202006   ,ECU              ,2
201907   ,LAO              ,1
201907   ,CMR              ,3
201909   ,MAR              ,3
201906   ,ZAF              ,1
201906   ,MMR              ,1
202005   ,CHN              ,92
201702   ,CAN              ,110
201701   ,COL              ,166
201608   ,MKD              ,99
201611   ,IRL              ,18
201611   ,CHN              ,182
201611   ,CYP              ,39
201611   ,WST              ,40
201704   ,EGY              ,151
201704   ,BDI              ,2
201705   ,RUS              ,443
201704   ,ZWE              ,3
201604   ,CUB              ,78
201703   ,MKD              ,165
201703   ,FRA              ,248
201610   ,ZWE              ,4
201510   ,IRL              ,20
201701   ,ALB              ,113
201701   ,SOM              ,20
201708   ,SLB              ,4
201708   ,POL              ,49
201706   ,THA              ,15
201706   ,DZA              ,22
201611   ,ETH              ,7
201609   ,COD              ,7
201609   ,ISL              ,6
201509   ,USA              ,1519
201706   ,VNM              ,9
201706   ,AUT              ,8
201701   ,DOM              ,42
201608   ,QAT              ,14
201612   ,SEN              ,4
201705   ,PAN              ,42
201705   ,ESP              ,165
201705   ,CRI              ,6
201705   ,SVK              ,10
201605   ,ESP              ,147
201706   ,SMR              ,1
201602   ,KHM              ,19
201611   ,TKM              ,3
201701   ,UZB              ,1
201702   ,COM              ,3
201709   ,TUR              ,236
201710   ,VEN              ,43
201710   ,BRA              ,35
201803   ,BRA              ,48
201803   ,EGY              ,67
201802   ,GBR              ,516
201801   ,BHR              ,20
201712   ,HND              ,37
201801   ,HND              ,11
201804   ,ARM              ,80
201804   ,SDN              ,33
201805   ,MDV              ,33
201709   ,GIN              ,1
201712   ,VEN              ,167
201801   ,MWI              ,1
201804   ,SGP              ,8
201601   ,SLV              ,18
201605   ,ARG              ,88
201506   ,BEL              ,77
201504   ,RUS              ,155
201602   ,BGR              ,67
201604   ,NGA              ,50
201510   ,DOM              ,7
201512   ,KHM              ,6
201604   ,ARE              ,24
201512   ,BHR              ,2
201503   ,THA              ,28
201801   ,SAS              ,1
201901   ,VEN              ,62
202006   ,CHE              ,4
201905   ,CHE              ,20
201508   ,IND              ,33
201601   ,PSE              ,33
202001   ,HUN              ,4
201907   ,PHL              ,13
201505   ,TUR              ,115
201508   ,ZWE              ,25
201503   ,LVA              ,9
201908   ,AUS              ,40
201602   ,NIC              ,12
201912   ,ISR              ,20
201901   ,AFR              ,26
201511   ,BHR              ,10
201507   ,COL              ,24
201911   ,PAK              ,8
201910   ,POL              ,40
201910   ,JOR              ,11
201811   ,LUX              ,14
201811   ,TUR              ,144
201906   ,ESP              ,14
201808   ,OMN              ,9
