Year,Actor1CountryCode,Count
2016,BMU              ,14605
2018,CYM              ,7515
2018,TCD              ,37628
2018,COM              ,3556
2016,KGZ              ,51742
2015,DNK              ,119235
2015,ASA              ,3536
2015,TON              ,4484
2019,LBR              ,27448
2019,VCT              ,8631
2020,SEN              ,11403
2020,TUR              ,265701
2020,AND              ,1029
2020,NAM              ,5921
2019,CYP              ,66256
2019,BHS              ,53897
2019,MRT              ,12257
2019,ECU              ,70487
2017,BRN              ,23268
2017,ISR              ,1150758
2017,POL              ,331101
2017,PRT              ,141435
2016,KEN              ,244970
2017,HKG              ,4135
2018,GTM              ,70477
2018,ZMB              ,46485
2017,SAM              ,156
2015,MDV              ,145600
2015,NGA              ,639176
2015,GEO              ,1179
2020,NAF              ,2
2020,BTN              ,2985
2019,EGY              ,357591
2019,GTM              ,56001
2017,AUS              ,973939
2017,IRQ              ,626210
2017,CYP              ,88802
2017,COK              ,3307
2017,SHN              ,446
2016,SLB              ,6446
2018,IRQ              ,304256
2018,MDV              ,153002
2018,ABW              ,2733
2018,HND              ,66419
2016,CMR              ,45457
2015,TZA              ,51772
2018,NAF              ,13
2019,COG              ,20855
2020,TTO              ,6489
2019,BRA              ,343714
2017,PGS              ,8324
2017,ABW              ,2516
2017,EAF              ,985
2018,IRL              ,363151
2016,ATG              ,6655
2015,PAN              ,57266
2015,TTO              ,31475
2016,TUV              ,1274
2020,CAU              ,2
2020,IDN              ,110581
2019,MNG              ,16935
2019,PAN              ,46103
2019,SGP              ,107902
2020,SAM              ,62
2019,GNQ              ,4070
2019,NIC              ,48655
2017,                 ,49622275
2016,CHN              ,1614706
2016,ZMB              ,56344
2017,BMU              ,13282
2016,PNG              ,21821
2018,UGA              ,97461
2018,BEN              ,14491
2016,SMR              ,1082
2015,CZE              ,100369
2015,AZE              ,113731
2015,AGO              ,38933
2015,ATG              ,5620
2020,MCO              ,9364
2020,CRB              ,487
2019,EST              ,42030
2019,SEN              ,25059
2016,PHL              ,540461
2017,ATG              ,8476
2016,VNM              ,255492
2016,CRI              ,22982
2018,RUS              ,2234014
2018,KHM              ,61985
2018,LUX              ,42764
2018,TGO              ,14289
2015,VAT              ,75092
2015,TCD              ,52997
2015,LCA              ,8841
2015,KNA              ,6786
2019,MDG              ,12834
2019,ERI              ,13824
2020,TGO              ,2760
2020,FSM              ,396
2020,BRB              ,5639
2019,UGA              ,79018
2019,ZWE              ,102428
2019,CIV              ,20778
2019,COK              ,3018
2017,SWZ              ,6173
2017,NER              ,40749
2017,BLZ              ,25318
2016,MNG              ,25974
2016,PRT              ,125256
2018,AFG              ,364774
2018,DMA              ,5800
2018,NPL              ,89187
2018,SVK              ,60332
2018,COG              ,28109
2016,DOM              ,40678
2015,KEN              ,194647
2015,LBY              ,192889
2015,CRB              ,1977
2015,FSM              ,2031
2020,BHS              ,10257
2019,LVA              ,40659
2019,TJK              ,17504
2019,MWI              ,40183
2019,KAZ              ,61986
2016,USA              ,14328553
2016,HND              ,58339
2016,SVK              ,65499
2018,SAU              ,630793
2018,NGA              ,712482
2018,BLR              ,102457
2018,BHR              ,56915
2015,ALB              ,59939
2019,BHR              ,49866
2020,TWN              ,32046
2020,ERI              ,4000
2020,TKM              ,4654
2019,TUN              ,65620
2017,ARG              ,248251
2017,BOL              ,96948
2017,OMN              ,72932
2017,HRV              ,100863
2016,VEN              ,300681
2016,HRV              ,106847
2016,NPL              ,111926
2016,PAN              ,100712
2017,SMR              ,862
2016,BEN              ,19302
2018,CHE              ,254896
2018,GIN              ,25328
2018,KWT              ,89357
2018,NIC              ,79917
2018,TKM              ,20721
2016,CAF              ,20624
2015,IDN              ,338807
2016,CAU              ,6
2020,ROM              ,5
2020,HRV              ,21294
2020,ECU              ,14151
2020,SVK              ,10591
2020,IRN              ,298789
2020,URY              ,9022
2020,MRT              ,4237
2020,MEA              ,3657
2019,KWT              ,60845
2017,ESP              ,764257
2017,TWN              ,96343
2016,BGR              ,183765
2016,AFR              ,652076
2017,GNQ              ,5980
2018,TUR              ,1048746
2018,NOR              ,121927
2018,GRD              ,10408
2015,JOR              ,233906
2015,SVK              ,50273
2015,ISL              ,21415
