Year,Actor1CountryCode,Count
2019,SVK              ,39855
2019,CMR              ,33120
2017,RUS              ,2381205
2016,WST              ,131706
2018,                 ,44375699
2018,ALB              ,134381
2018,ATG              ,7985
2015,                 ,41349048
2016,KNA              ,6592
2015,MDG              ,11922
2015,SLB              ,5512
2015,SYC              ,11321
2019,ABW              ,2146
2019,CAF              ,8982
2020,PAK              ,134892
2020,MOZ              ,6214
2019,ZAF              ,152366
2020,GEO              ,315
2019,GRD              ,10493
2017,COM              ,2483
2016,OMN              ,75640
2016,LSO              ,8614
2018,AZE              ,119820
2018,EST              ,51214
2018,COD              ,45324
2016,TJK              ,36724
2015,DZA              ,99613
2015,POL              ,233434
2015,LIE              ,2288
2020,DZA              ,22252
2020,KWT              ,16968
2017,HND              ,53778
2017,JOR              ,276312
2017,HUN              ,133098
2016,ARM              ,231593
2016,LUX              ,46634
2018,EUR              ,948136
2018,ISL              ,24971
2016,VUT              ,5622
2019,NRU              ,3061
2019,STP              ,1740
2020,ARG              ,50466
2020,TZA              ,9700
2019,SWE              ,183575
2019,PLW              ,4453
2019,CAS              ,1338
2017,NGA              ,744032
2017,PAK              ,714110
2017,MWI              ,36690
2016,JPN              ,660489
2016,ECU              ,91728
2016,FIN              ,124028
2016,TON              ,5893
2015,CHN              ,1230713
2015,BWA              ,21570
2020,PAN              ,10569
2020,CRI              ,4188
2020,BWA              ,5350
2019,AZE              ,102354
2019,NPL              ,70938
2020,SHN              ,86
2019,LBN              ,173542
2017,EGY              ,791262
2017,MCO              ,47946
2016,BDI              ,42265
2016,BHS              ,41956
2016,MRT              ,28195
2018,UZB              ,38791
2018,BHS              ,32074
2015,COK              ,3188
2015,WSM              ,8360
2019,TON              ,5892
2019,LAM              ,340
2020,BGR              ,29402
2020,NGA              ,180497
2020,NZL              ,64162
2020,COG              ,4292
2020,GTM              ,14184
2020,LAO              ,3724
2020,SOM              ,17446
2019,RWA              ,42015
2019,IRQ              ,306897
2020,MAC              ,648
2019,BEL              ,223533
2020,EAF              ,177
2016,SGP              ,141183
2017,VNM              ,235647
2016,SSD              ,83356
2016,PRK              ,241756
2016,GHA              ,159577
2016,ZWE              ,133355
2017,MDG              ,14481
2016,MMR              ,107481
2017,MHL              ,4194
2018,MKD              ,195667
2018,LCA              ,9137
2018,TJK              ,27916
2018,COK              ,2988
2016,NRU              ,7871
2015,IRQ              ,583027
2015,PER              ,119894
2015,PAK              ,671445
2015,NIC              ,35590
2015,SAM              ,393
2019,JPN              ,545383
2020,RWA              ,10231
2019,BWA              ,25153
2017,GMB              ,49942
2016,IRQ              ,708393
2018,CZE              ,110371
2018,ARM              ,150141
2018,GUY              ,32415
2018,PGS              ,4750
2016,SWZ              ,8276
2015,COG              ,20415
2015,AFG              ,445718
2015,ARG              ,192921
2019,WAF              ,5807
2019,WLF              ,99
2020,RUS              ,445242
2020,ISR              ,228560
2020,KGZ              ,9493
2020,NIC              ,8269
2019,PRT              ,96656
2019,TZA              ,36689
2020,CAS              ,117
2017,MLT              ,52911
2017,KEN              ,203965
2017,ZWE              ,137609
2017,LUX              ,47803
2017,SLE              ,21585
2017,CYM              ,7153
2016,PRY              ,41783
2016,SAS              ,29581
2016,GNQ              ,6711
2018,KAZ              ,72310
2018,SSD              ,43266
2018,VNM              ,205421
2018,TZA              ,47716
2018,BRB              ,15583
2018,GMB              ,25532
2018,SHN              ,345
2015,GBR              ,1787900
2015,MEX              ,445610
2015,BHR              ,55643
2015,BEN              ,14645
2015,ABW              ,2668
