MonthYear,EventRootCode,SumNumMentions,AvgNumMentions
202003   ,05           ,182           ,3.714285714285714
201708   ,09           ,24            ,6.0
201609   ,09           ,89            ,5.2352941176470589
201711   ,03           ,417           ,4.793103448275863
201705   ,13           ,35            ,5.833333333333333
201802   ,15           ,10            ,3.3333333333333335
201507   ,11           ,101           ,3.8846153846153841
201701   ,09           ,63            ,6.3
201906   ,15           ,279           ,5.580000000000001
202001   ,04           ,1078          ,3.61744966442953
201712   ,10           ,10            ,10.0
201606   ,15           ,96            ,8.7272727272727266
201806   ,13           ,20            ,2.8571428571428572
201610   ,19           ,258           ,5.1599999999999993
201703   ,07           ,62            ,2.5833333333333335
201801   ,06           ,61            ,3.05
201709   ,09           ,12            ,3.0
201612   ,18           ,90            ,3.9130434782608696
201512   ,14           ,42            ,4.2
201508   ,02           ,207           ,5.447368421052631
201507   ,03           ,219           ,3.4761904761904758
201710   ,12           ,134           ,4.4666666666666668
201503   ,18           ,101           ,6.7333333333333334
201710   ,11           ,212           ,5.72972972972973
201507   ,12           ,68            ,6.1818181818181817
201805   ,13           ,111           ,4.4399999999999995
201905   ,11           ,297           ,4.9499999999999993
201507   ,14           ,12            ,4.0
201804   ,10           ,1             ,1.0
201802   ,09           ,59            ,4.5384615384615383
201811   ,11           ,197           ,4.5813953488372086
201910   ,06           ,122           ,3.4857142857142858
201912   ,13           ,26            ,13.0
201912   ,14           ,38            ,6.3333333333333339
201809   ,11           ,180           ,3.1578947368421053
201909   ,08           ,64            ,4.0
201809   ,06           ,71            ,4.1764705882352944
201808   ,16           ,6             ,3.0
201611   ,12           ,60            ,6.0
201703   ,02           ,915           ,4.8670212765957439
201703   ,14           ,77            ,4.8125
201701   ,10           ,92            ,4.1818181818181825
201507   ,13           ,8             ,2.0
201905   ,17           ,81            ,3.375
201810   ,10           ,43            ,2.6875
201810   ,18           ,58            ,6.4444444444444446
201606   ,05           ,605           ,5.0416666666666661
201901   ,17           ,281           ,4.0142857142857151
201901   ,06           ,124           ,6.526315789473685
201810   ,15           ,64            ,4.2666666666666657
201912   ,18           ,78            ,4.1052631578947363
202002   ,16           ,5             ,5.0
201610   ,07           ,77            ,3.5
201609   ,19           ,200           ,5.1282051282051277
201502   ,02           ,299           ,5.6415094339622636
201506   ,05           ,431           ,4.066037735849056
201506   ,06           ,49            ,3.4999999999999996
201509   ,09           ,17            ,2.125
201603   ,09           ,103           ,5.1499999999999995
201601   ,08           ,78            ,6.5
201703   ,15           ,130           ,16.250000000000004
201503   ,07           ,27            ,5.4
201905   ,02           ,304           ,4.9836065573770485
201905   ,05           ,346           ,4.2195121951219505
201508   ,06           ,42            ,4.666666666666667
201503   ,14           ,16            ,3.9999999999999996
201901   ,16           ,40            ,3.333333333333333
202003   ,07           ,79            ,3.4347826086956523
201809   ,05           ,1060          ,4.7963800904977392
201610   ,05           ,308           ,3.9487179487179489
201701   ,13           ,97            ,5.1052631578947372
201805   ,10           ,42            ,6.0
201603   ,07           ,75            ,4.4117647058823533
201804   ,03           ,499           ,4.99
201512   ,11           ,145           ,5.0
201502   ,05           ,188           ,4.9473684210526319
201802   ,06           ,168           ,3.652173913043478
201504   ,18           ,85            ,5.3125000000000009
201509   ,19           ,380           ,4.2696629213483135
201908   ,08           ,164           ,4.5555555555555562
201807   ,13           ,51            ,3.4
201606   ,08           ,216           ,4.9090909090909092
201901   ,01           ,1173          ,3.2403314917127064
201812   ,11           ,193           ,4.7073170731707323
201903   ,17           ,259           ,3.9242424242424243
201905   ,08           ,81            ,5.0625
201910   ,01           ,366           ,3.4528301886792452
201902   ,13           ,30            ,2.5
201505   ,10           ,2             ,1.0
201806   ,18           ,17            ,4.25
202003   ,10           ,8             ,4.0
202004   ,04           ,719           ,4.6688311688311686
202005   ,02           ,124           ,5.166666666666667
201707   ,16           ,20            ,10.0
201706   ,13           ,13            ,2.166666666666667
201605   ,08           ,183           ,4.8157894736842106
201612   ,13           ,27            ,4.5
201712   ,09           ,33            ,5.5
201602   ,18           ,61            ,5.083333333333333
201605   ,09           ,77            ,4.5294117647058822
201505   ,12           ,55            ,4.23076923076923
201906   ,02           ,349           ,5.2089552238805963
202001   ,17           ,158           ,3.2916666666666665
201904   ,18           ,29            ,3.2222222222222223
201806   ,11           ,294           ,3.5421686746987948
201907   ,12           ,34            ,3.4
201810   ,09           ,32            ,6.4
201902   ,09           ,44            ,4.8888888888888884
202003   ,12           ,12            ,6.0
201808   ,02           ,266           ,4.6666666666666661
202005   ,01           ,323           ,3.5108695652173911
201707   ,09           ,46            ,3.0666666666666664
201704   ,02           ,326           ,3.7471264367816093
201703   ,17           ,376           ,4.5301204819277121
201805   ,19           ,557           ,6.0543478260869561
201707   ,07           ,95            ,3.7999999999999994
201508   ,03           ,443           ,4.8152173913043494
201503   ,02           ,502           ,5.9058823529411768
201601   ,12           ,27            ,2.6999999999999997
201604   ,10           ,10            ,3.3333333333333335
201807   ,06           ,45            ,3.75
201905   ,06           ,53            ,3.3125
201910   ,03           ,716           ,5.59375
202003   ,09           ,20            ,5.0
201702   ,02           ,316           ,3.632183908045977
201611   ,05           ,624           ,4.16
201707   ,03           ,1205          ,4.3189964157706093
201704   ,07           ,79            ,4.1578947368421053
201704   ,15           ,10            ,10.0
201801   ,18           ,50            ,3.5714285714285716
201510   ,03           ,481           ,5.528735632183909
201802   ,14           ,20            ,10.0
201711   ,09           ,99            ,3.3
201908   ,11           ,170           ,6.0714285714285712
201812   ,02           ,267           ,4.7678571428571423
201903   ,05           ,542           ,4.3015873015873014
