MonthYear,EventRootCode,f0_,f1_                   ,f2_
201608   ,04           ,124,-162.51652930750248   ,-1.3106171718346975
201608   ,19           ,14 ,-78.920155650332788   ,-5.6371539750237689
201702   ,17           ,19 ,-58.159047119862691   ,-3.0610024799927738
201803   ,12           ,4  ,-4.8503431157833194   ,-1.2125857789458299
201711   ,02           ,24 ,-20.472585864972249   ,-0.85302441104051074
201503   ,04           ,118,-160.10560720398604   ,-1.3568271796947977
201507   ,04           ,86 ,52.795519404357961    ,0.61390138842276709
201802   ,08           ,20 ,-47.953425736979526   ,-2.397671286848976
201509   ,12           ,12 ,-98.297625834246929   ,-8.1914688195205763
201902   ,12           ,5  ,-8.86270690357241     ,-1.7725413807144821
201508   ,03           ,8  ,4.8741385609716       ,0.60926732012145
201607   ,05           ,58 ,-61.468469059709832   ,-1.0598011906846521
201903   ,03           ,11 ,-8.48840006285076     ,-0.77167273298643257
201806   ,17           ,3  ,-6.2609562580484495   ,-2.0869854193494826
202004   ,07           ,6  ,5.37053833508583      ,0.89508972251430463
201702   ,12           ,6  ,-23.050985235734462   ,-3.8418308726224097
201706   ,17           ,5  ,-10.11948387416836    ,-2.0238967748336729
201603   ,04           ,81 ,-153.88668689108601   ,-1.899835640630692
201803   ,07           ,4  ,5.30920821912556      ,1.3273020547813896
201802   ,07           ,24 ,22.122874593654252    ,0.92178644140226007
201712   ,08           ,7  ,-21.21115958523276    ,-3.0301656550332519
201511   ,14           ,1  ,-4.1025641025641      ,-4.1025641025641
201509   ,02           ,20 ,-72.928736170618478   ,-3.6464368085309236
201911   ,05           ,12 ,12.737076523189831    ,1.0614230435991525
201908   ,17           ,8  ,-39.521768941437784   ,-4.9402211176797231
201912   ,05           ,25 ,22.590283374016781    ,0.90361133496067114
201703   ,17           ,7  ,-31.550446998722848   ,-4.5072067141032637
201904   ,18           ,4  ,-27.253049712757729   ,-6.8132624281894323
201703   ,02           ,9  ,-6.0430414732371336   ,-0.67144905258190357
201609   ,11           ,2  ,1.1778516924281002    ,0.58892584621405009
201508   ,08           ,2  ,-13.0                 ,-6.5
201705   ,16           ,8  ,2.1781044008156707    ,0.27226305010195861
201602   ,04           ,108,-106.88112878134426   ,-0.98964008130874348
201712   ,11           ,22 ,-15.324198937380714   ,-0.69655449715366891
201804   ,06           ,16 ,-23.100424816927863   ,-1.4437765510579912
201905   ,15           ,2  ,4.04040404040404      ,2.02020202020202
202001   ,02           ,15 ,-6.1865220095010409   ,-0.41243480063340265
201606   ,08           ,15 ,7.2758231052349993    ,0.485054873682333
201811   ,09           ,4  ,-1.55038759689924     ,-0.38759689922481
201611   ,07           ,5  ,-6.5816850183677094   ,-1.316337003673542
201704   ,19           ,4  ,-18.038388553156491   ,-4.5095971382891218
201709   ,10           ,1  ,-0.6006006006006      ,-0.6006006006006
201709   ,08           ,3  ,-4.18366248985142     ,-1.3945541632838065
201508   ,06           ,18 ,-14.003401786498845   ,-0.77796676591660219
201512   ,18           ,1  ,0.83333333333333      ,0.83333333333333
201510   ,17           ,10 ,-6.6803742017221808   ,-0.66803742017221812
201802   ,09           ,5  ,0.76905876151992025   ,0.15381175230398436
201603   ,17           ,1  ,-6.64819944598338     ,-6.64819944598338
201810   ,06           ,5  ,-12.211862211862179   ,-2.4423724423724353
201512   ,01           ,14 ,-40.548551207689471   ,-2.8963250862635332
202002   ,06           ,7  ,-10.986598443751349   ,-1.5695140633930498
201809   ,19           ,8  ,0.34269657519758745   ,0.04283707189969832
201812   ,18           ,6  ,-11.1753346515943     ,-1.8625557752657167
201610   ,11           ,79 ,-202.80695084085335   ,-2.5671765929221939
201610   ,17           ,16 ,-126.18910184905987   ,-7.8868188655662408
201706   ,07           ,8  ,-8.85599789544094     ,-1.1069997369301174
201610   ,12           ,16 ,-101.62793812565525   ,-6.3517461328534521
201701   ,08           ,8  ,-35.398795696786344   ,-4.424849462098293
201805   ,05           ,30 ,4.2151572400559854    ,0.14050524133519954
201503   ,03           ,29 ,17.620261032779769    ,0.60759520802688849
201806   ,01           ,5  ,-6.0140444558096      ,-1.20280889116192
201804   ,01           ,18 ,-9.0966213234519415   ,-0.50536785130288586
201507   ,12           ,2  ,-2.0414423011382903   ,-1.0207211505691451
202002   ,04           ,267,-176.79617669490628   ,-0.66215796514946135
201909   ,10           ,5  ,-14.42409968380446    ,-2.8848199367608922
201909   ,06           ,4  ,-1.977928692699495    ,-0.49448217317487375
201606   ,03           ,68 ,-21.306588377179985   ,-0.31333218201735269
201707   ,12           ,9  ,-22.767669668766903   ,-2.5297410743074336
201708   ,12           ,38 ,-97.892233778626945   ,-2.5761114152270235
201903   ,05           ,22 ,9.7000249953680679    ,0.44091022706218475
201712   ,03           ,9  ,-1.3376981817062097   ,-0.14863313130068995
201506   ,01           ,16 ,-26.161754180257621   ,-1.6351096362661011
201904   ,09           ,1  ,0.43103448275862      ,0.43103448275862
201904   ,11           ,21 ,-38.744670511769918   ,-1.8449843100842813
201509   ,03           ,29 ,-40.469025942935119   ,-1.3954836532046588
201903   ,04           ,86 ,-119.716399705964     ,-1.3920511593716742
202001   ,17           ,9  ,-43.891827176339142   ,-4.876869686259905
201608   ,03           ,48 ,-38.271531175217767   ,-0.79732356615037
201704   ,07           ,2  ,-0.81687584113173006  ,-0.40843792056586503
201609   ,02           ,12 ,-10.999354130669792   ,-0.91661284422248246
201707   ,01           ,30 ,-4.447129714996743    ,-0.14823765716655843
201705   ,01           ,43 ,30.970550141851767    ,0.72024535213608765
201807   ,04           ,68 ,-61.686550743352967   ,-0.90715515799048452
