MonthYear,EventRootCode,Count,SumAvgToneNumSources,AvgAvgToneNumSources
201709   ,19           ,93   ,-370.0667657347197  ,-3.979212534781932
201907   ,18           ,14   ,-33.418852372990919 ,-2.3870608837850655
201907   ,06           ,40   ,-132.69062305554397 ,-3.3172655763886
201803   ,13           ,4    ,-12.460176991150441 ,-3.11504424778761
201612   ,06           ,31   ,-62.021330680286468 ,-2.0006880864608543
201505   ,07           ,32   ,-159.51834269331968 ,-4.9849482091662409
201508   ,19           ,47   ,-196.22451373197867 ,-4.1749896538718847
201504   ,03           ,114  ,-231.74920094578769 ,-2.0328877275946291
201808   ,08           ,22   ,-55.887018156590656 ,-2.5403190071177564
201505   ,13           ,21   ,-107.78222481926251 ,-5.132486896155358
201908   ,02           ,90   ,-362.00286781480656 ,-4.0222540868311834
202001   ,08           ,29   ,-61.731718316224736 ,-2.1286799419387838
202004   ,14           ,3    ,-5.61069981415471   ,-1.8702332713849035
201812   ,07           ,7    ,-12.806463904085751 ,-1.8294948434408214
201707   ,05           ,110  ,-45.434885250861662 ,-0.41304441137146952
201704   ,17           ,11   ,-37.09054268086367  ,-3.3718675164421521
201801   ,11           ,91   ,-510.13843794793348 ,-5.60591690052674
201807   ,14           ,3    ,-2.70471638433963   ,-0.90157212811320986
202003   ,13           ,6    ,-14.60130037619891  ,-2.4335500626998186
202001   ,06           ,24   ,-122.89248037711842 ,-5.1205200157132671
201908   ,16           ,13   ,-62.953682363313781 ,-4.8425909510241372
201905   ,11           ,62   ,-257.86583084801532 ,-4.1591263040002477
201711   ,18           ,2    ,-6.32716049382716   ,-3.16358024691358
201808   ,10           ,4    ,-28.2481042996756   ,-7.0620260749189
201707   ,04           ,1051 ,-705.43316836923634 ,-0.67120187285369748
201707   ,17           ,19   ,1.1303360108688425  ,0.059491368993097059
201803   ,05           ,117  ,-98.470075448351551 ,-0.84162457648163713
201802   ,12           ,38   ,-189.35983989372713 ,-4.9831536814138717
201711   ,09           ,14   ,-37.368027199537124 ,-2.6691447999669378
201705   ,02           ,29   ,-29.543115757679594 ,-1.0187281295751585
201804   ,02           ,31   ,-82.147820879285533 ,-2.6499297057834039
201509   ,17           ,12   ,-34.6186964339833   ,-2.8848913694986082
201809   ,17           ,4    ,-25.886425381288323 ,-6.47160634532208
202003   ,12           ,9    ,-23.42106241320726  ,-2.60234026813414
201504   ,17           ,23   ,-31.567987591017953 ,-1.3725211996094764
201811   ,10           ,24   ,-90.2362469160586   ,-3.7598436215024424
201909   ,16           ,5    ,-16.0515472118434   ,-3.21030944236868
201709   ,18           ,3    ,-30.794217842749728 ,-10.264739280916576
201606   ,18           ,14   ,-87.957726634815486 ,-6.2826947596296776
201610   ,16           ,1    ,-3.09278350515464   ,-3.09278350515464
201804   ,09           ,1    ,-1.9559902200489    ,-1.9559902200489
202004   ,13           ,2    ,-7.03781512605042   ,-3.51890756302521
201610   ,02           ,21   ,-75.035169769364572 ,-3.5731033223506934
201811   ,01           ,68   ,-263.11933240679537 ,-3.8694019471587553
201605   ,01           ,87   ,-167.50686482590777 ,-1.9253662623667569
201512   ,17           ,24   ,-135.13211196005781 ,-5.6305046650024089
201906   ,17           ,24   ,-80.425827132057236 ,-3.3510761305023853
201706   ,06           ,6    ,-10.65504104981895  ,-1.7758401749698252
201903   ,17           ,16   ,-21.833787923699852 ,-1.3646117452312405
201910   ,17           ,25   ,-141.83214973889534 ,-5.6732859895558141
201602   ,10           ,11   ,-29.855419315359374 ,-2.7141290286690336
202001   ,12           ,24   ,-95.376103806470724 ,-3.9740043252696138
202002   ,02           ,44   ,-31.232832073588568 ,-0.70983709258155847
201905   ,08           ,19   ,-72.329822619446531 ,-3.8068327694445552
201905   ,09           ,9    ,-46.31183243546257  ,-5.1457591594958414
201812   ,06           ,12   ,-45.471646237704633 ,-3.789303853142052
201503   ,14           ,7    ,-14.603906041472429 ,-2.0862722916389185
201607   ,16           ,9    ,-21.47861018893121  ,-2.3865122432145789
201605   ,07           ,12   ,2.7275815947836306  ,0.2272984662319692
201608   ,14           ,1    ,2.04841713221602    ,2.04841713221602
201707   ,18           ,4    ,-8.18797672881527   ,-2.0469941822038176
202004   ,07           ,8    ,27.690860089155358  ,3.46135751114442
201702   ,12           ,19   ,-33.22005500687532  ,-1.7484239477302799
201703   ,17           ,47   ,-376.80582281066876 ,-8.0171451661844451
201801   ,15           ,2    ,-1.582047606291149  ,-0.79102380314557452
201706   ,17           ,11   ,-47.414108580800175 ,-4.310373507345469
201712   ,08           ,22   ,-65.291686687239491 ,-2.9678039403290675
201803   ,07           ,17   ,1.3945511196695595  ,0.0820324188040916
201802   ,07           ,24   ,-6.4713392657889166 ,-0.2696391360745386
201509   ,02           ,38   ,-127.99066919770175 ,-3.3681755052026765
201603   ,04           ,93   ,-116.66237093958111 ,-1.2544340961245286
201911   ,05           ,49   ,-49.6858001445335   ,-1.0139959213170102
201908   ,17           ,21   ,-109.90382547917794 ,-5.2335154990084742
201912   ,05           ,122  ,-546.54814780725019 ,-4.4799028508791
201508   ,10           ,3    ,-2.26244343891404   ,-0.7541478129713467
201904   ,18           ,4    ,-9.13571391967124   ,-2.28392847991781
201908   ,20           ,2    ,-20.7317073170732   ,-10.3658536585366
201511   ,14           ,2    ,-1.355932203389818  ,-0.677966101694909
201702   ,17           ,35   ,-102.89201194799895 ,-2.9397717699428272
201608   ,04           ,360  ,-619.48061108712022 ,-1.7207794752420009
201608   ,19           ,100  ,-500.31240238041784 ,-5.0031240238041779
201803   ,12           ,29   ,-156.48084559455205 ,-5.395891227398347
201907   ,11           ,34   ,-97.702665682649226 ,-2.8736078141955654
201711   ,02           ,110  ,-118.43264716745691 ,-1.0766604287950625
201802   ,08           ,75   ,-338.98719608063755 ,-4.5198292810751663
201709   ,09           ,15   ,-23.489468108960661 ,-1.5659645405973772
201509   ,12           ,37   ,-139.12020299914579 ,-3.7600054864633989
201508   ,03           ,82   ,-59.121781017420318 ,-0.72099732948073569
201507   ,04           ,132  ,-167.32967754132764 ,-1.2676490722827847
201503   ,04           ,219  ,-439.65896057017579 ,-2.0075751624208933
201705   ,09           ,9    ,-41.480707616300833 ,-4.6089675129223142
201902   ,12           ,12   ,-31.794539237770991 ,-2.649544936480916
201806   ,17           ,20   ,-37.279265495032718 ,-1.8639632747516361
201903   ,03           ,23   ,25.124164408022978  ,1.0923549742618688
201603   ,20           ,1    ,-7.21649484536082   ,-7.21649484536082
201607   ,05           ,61   ,-104.59026233858697 ,-1.7145944645669995
201508   ,15           ,2    ,-1.61943319838058   ,-0.80971659919029
201704   ,08           ,36   ,-156.29575618920109 ,-4.341548783033363
201704   ,02           ,12   ,-14.267689153972224 ,-1.1889740961643511
201801   ,17           ,40   ,-298.2072943055702  ,-7.455182357639254
201708   ,11           ,136  ,-687.75624385197364 ,-5.0570312047939234
201804   ,16           ,7    ,-24.781204654405759 ,-3.5401720934865377
201510   ,07           ,13   ,-14.88609814348408  ,-1.1450844725756983
201711   ,06           ,20   ,-9.6116055188186973 ,-0.48058027594093466
201704   ,11           ,35   ,-136.23130853052922 ,-3.8923231008722632
201710   ,01           ,27   ,-49.321291345109785 ,-1.8267144942633253
201705   ,18           ,5    ,-26.262187040642793 ,-5.2524374081285581
201706   ,08           ,19   ,-21.054745861717475 ,-1.1081445190377617
201604   ,08           ,26   ,-71.957331139875649 ,-2.7675896592259868
201512   ,06           ,12   ,-12.851625600249175 ,-1.0709688000207644
201906   ,18           ,6    ,-28.637416149516888 ,-4.7729026915861485
201901   ,12           ,10   ,-26.411545809756038 ,-2.6411545809756034
201810   ,10           ,22   ,-113.4851559105478  ,-5.1584161777521729
202001   ,16           ,4    ,-18.137366509459518 ,-4.53434162736488
202005   ,10           ,1    ,-3.72340425531915   ,-3.72340425531915
201702   ,19           ,60   ,-260.00653874022566 ,-4.3334423123370946
201601   ,04           ,432  ,-360.34562372019121 ,-0.83413338824118355
201711   ,13           ,15   ,-23.610674098426081 ,-1.574044939895072
201912   ,02           ,30   ,-69.100227884141034 ,-2.3033409294713678
201806   ,03           ,50   ,-10.361736825554264 ,-0.20723473651108526
201705   ,08           ,21   ,-61.284669968815862 ,-2.91831761756266
201809   ,03           ,27   ,-6.5431887839239256 ,-0.24234032533051578
201612   ,09           ,11   ,-102.35729046296953 ,-9.3052082239063214
201607   ,11           ,55   ,-216.36114827791616 ,-3.9338390595984758
201803   ,14           ,6    ,-1.0311365515418598 ,-0.17185609192364359
201709   ,16           ,3    ,-5.01358235413326   ,-1.67119411804442
201503   ,10           ,3    ,-12.63932868210944  ,-4.2131095607031472
