MonthYear,Actor1CountryCode,Count
202004   ,CHN              ,152
202003   ,GRC              ,23
201904   ,IRL              ,52
201702   ,ITA              ,129
201611   ,SAU              ,26
201708   ,MEX              ,18
201610   ,AFR              ,22
201709   ,IRN              ,18
201705   ,LBY              ,7
201705   ,MKD              ,14
201706   ,AFR              ,7
201611   ,MDA              ,19
201710   ,BGR              ,105
201710   ,LTU              ,212
201710   ,AUT              ,54
201701   ,MRT              ,1
201707   ,AGO              ,9
201709   ,ALB              ,11
201709   ,LBY              ,4
201711   ,FIN              ,34
201611   ,CMR              ,1
201706   ,TZA              ,2
201705   ,MLI              ,1
201801   ,AUT              ,47
201802   ,USA              ,1592
201712   ,SGP              ,7
201803   ,PNG              ,1
201802   ,COL              ,6
201804   ,HND              ,3
201805   ,UZB              ,18
201609   ,MLI              ,1
201511   ,CAN              ,80
201507   ,TUR              ,58
201503   ,DNK              ,72
201605   ,ISR              ,202
201508   ,ITA              ,95
201506   ,HUN              ,89
201607   ,CHE              ,35
201607   ,CHL              ,26
201508   ,ERI              ,3
201605   ,CMR              ,3
201804   ,ECU              ,1
201502   ,PHL              ,2
201605   ,VEN              ,5
201510   ,PRT              ,8
201512   ,ZMB              ,1
201606   ,ZAF              ,10
201606   ,VNM              ,46
201606   ,CHL              ,40
201606   ,AIA              ,3
201607   ,PGS              ,2
201512   ,MNG              ,3
201601   ,MYS              ,1
201602   ,NPL              ,1
201807   ,LTU              ,126
201510   ,TKM              ,1
201806   ,DOM              ,4
201806   ,SSD              ,2
201809   ,BRA              ,30
201809   ,RWA              ,3
201809   ,AUS              ,50
201810   ,MDV              ,4
201810   ,PAN              ,4
201808   ,SYR              ,20
201810   ,LBR              ,1
201812   ,IRL              ,64
201812   ,GRC              ,39
201506   ,GAB              ,1
201811   ,JPN              ,39
201901   ,AFG              ,19
201905   ,VAT              ,35
201903   ,HUN              ,272
201903   ,ESP              ,53
201903   ,AUT              ,37
201902   ,LUX              ,25
201812   ,ARG              ,33
201904   ,COD              ,4
201908   ,TUR              ,42
201907   ,IRN              ,20
201908   ,IND              ,31
201908   ,EST              ,14
201906   ,KOR              ,9
201904   ,BOL              ,1
201905   ,HRV              ,17
201909   ,CYP              ,2
201909   ,IDN              ,17
201912   ,CAN              ,63
201912   ,ESP              ,70
202001   ,AUT              ,58
202001   ,CHN              ,57
202001   ,NOR              ,12
201910   ,LBR              ,3
201911   ,LUX              ,18
202001   ,SAU              ,48
