MonthYear,Actor1CountryCode,Events ,sumNumMentions,materialConfCoop    ,verbalConfCoop      ,avgAvgTone           ,avgGoldstein         ,fightCount,expressCount
202001   ,DZA              ,7038   ,34667         ,0.070190394998579139,0.10812730889457232 ,-1.7737410092456192  ,1.4769820971867005   ,140       ,77
202001   ,TUR              ,62821  ,307088        ,0.12137660973241432 ,0.11808153324525239 ,-2.31389433481546    ,1.2405087470750238   ,3450      ,1134
202001   ,SYC              ,531    ,2710          ,0.043314500941619587,0.03954802259887006 ,1.5559786499922372   ,2.1661016949152541   ,10        ,10
202001   ,ZWE              ,6183   ,27918         ,0.12938702895034773 ,0.13326863981885817 ,-2.0765206712119393  ,0.57373443312307948  ,284       ,118
202001   ,MWI              ,1972   ,9617          ,0.11359026369168357 ,0.14756592292089249 ,-1.9049276297871656  ,0.66906693711967535  ,46        ,34
202001   ,TGO              ,736    ,3437          ,0.10190217391304347 ,0.096467391304347824,-1.0452925981242733  ,1.5302989130434779   ,18        ,2
202001   ,PRY              ,1155   ,6988          ,0.15670995670995672 ,0.078787878787878782,-2.784230834143449   ,0.739134199134199    ,84        ,37
202001   ,MCO              ,2083   ,10805         ,0.15890542486797887 ,0.114258281325012   ,-1.5576194151898974  ,0.29207873259721562  ,119       ,36
202001   ,SLV              ,2250   ,10059         ,0.17911111111111111 ,0.11022222222222222 ,-3.67272486024896    ,0.49817777777777805  ,120       ,42
202001   ,MDG              ,618    ,3768          ,0.061488673139158574,0.084142394822006472,-0.22134128920415685 ,1.7760517799352753   ,12        ,6
202001   ,ATG              ,231    ,1322          ,0.07792207792207792 ,0.03896103896103896 ,-0.15604256900683222 ,1.6870129870129871   ,2         ,1
202001   ,LIE              ,173    ,753           ,0.04046242774566474 ,0.06358381502890173 ,0.38199985291421712  ,2.4618497109826594   ,4         ,1
202001   ,ITA              ,37174  ,215185        ,0.10499273685909506 ,0.11274008715769086 ,-1.015122187080798   ,1.1570398665734116   ,1529      ,877
202001   ,GIN              ,1701   ,9497          ,0.092298647854203414,0.19165196942974722 ,-1.8787256926304468  ,0.36413874191651968  ,73        ,22
202001   ,SAF              ,135    ,876           ,0.07407407407407407 ,0.22222222222222221 ,-2.2723092928208546  ,0.26592592592592579  ,2         ,0
202001   ,RUS              ,115676 ,592422        ,0.12955150593035719 ,0.12910197448044539 ,-2.3033746012253133  ,0.877944430996922    ,6975      ,2445
202001   ,JAM              ,4242   ,19851         ,0.11669024045261669 ,0.080858085808580851,-1.0728863355686553  ,1.0058227251296559   ,227       ,62
202001   ,BDI              ,1540   ,7243          ,0.15974025974025974 ,0.16103896103896104 ,-2.3089426864496567  ,0.28655844155844162  ,131       ,13
202001   ,AND              ,214    ,1573          ,0.060747663551401869,0.11214953271028037 ,0.024755545079358149 ,1.9490654205607474   ,7         ,2
202001   ,JPN              ,38850  ,195001        ,0.13014157014157013 ,0.12020592020592021 ,-1.8182713235149823  ,0.97249678249678206  ,1505      ,896
202001   ,PHL              ,21169  ,88681         ,0.17062686003117766 ,0.10732675138173745 ,-2.5317882372849492  ,0.64452737493504686  ,868       ,547
202001   ,NLD              ,11443  ,56714         ,0.15092196102420694 ,0.11002359521104606 ,-1.5067962516834599  ,0.67466573451018141  ,673       ,275
202001   ,HND              ,4087   ,21716         ,0.1123073158796183  ,0.090286273550281376,-3.0376338937236271  ,1.3674333251773914   ,197       ,96
202001   ,CAN              ,91214  ,406209        ,0.11676935558138005 ,0.11232924770320346 ,-1.6205397093888485  ,0.93868375468678145  ,5132      ,2377
202001   ,NMR              ,4291   ,11609         ,0.044744814728501517,0.09951060358890701 ,0.79395306759313566  ,2.4942670706129126   ,82        ,55
202001   ,LVA              ,2861   ,16065         ,0.084236281020622167,0.11604334148898986 ,-1.4480176344874063  ,1.512373296050332    ,133       ,61
202001   ,ALB              ,3092   ,17180         ,0.1351875808538163  ,0.11869340232858991 ,-1.430320469733054   ,1.1352199223803361   ,127       ,40
202001   ,ISL              ,862    ,5063          ,0.078886310904872387,0.084686774941995363,0.15856910571124749  ,1.5474477958236659   ,26        ,22
202001   ,LBR              ,1878   ,8262          ,0.10543130990415335 ,0.13312034078807242 ,-1.2340940239586147  ,0.72220447284345046  ,71        ,15
202001   ,ABW              ,79     ,469           ,0.025316455696202531,0.10126582278481013 ,0.065641219978425369 ,1.9607594936708863   ,2         ,2
202001   ,AFR              ,31569  ,159050        ,0.11172352624410023 ,0.10861921505274161 ,-1.2592045193928265  ,0.96297950521080822  ,1705      ,638
